"","subject","structure","text"
"2640","outgroup","outgroup","Your abstract needs a little work, try to reorganize it so it reads a little like a summary of your whole paper. Make sure you have results in here; did it work or didn’t it."
"2641","ingroup","outgroup","1 significant figure (28.2 seconds, 31.3 seconds) is enough."
"2642","ingroup","outgroup","Did you make a figure? Reference that in your results"
"2643","outgroup","outgroup","Any primary literature sources (journal articles) that deal with interspecific interactions involving betta fish? It would be very useful to cite and talk about those here, if there are."
"2644","outgroup","outgroup","Did this happen with the tetras? Try to connect your statements here with what you saw in your experiment, otherwise it seems like you’re just repeating what others have found (which is fine for the intro, but not for the discussion)."
"2645","ingroup","ingroup","Did you just record the data from one fish, or both?"
"2646","ingroup","outgroup","Error bars represent…"
"2647","outgroup","outgroup","intimidate"
"2648","outgroup","outgroup","Is this necessary/relevant to your hypothesis? If not, delete"
"2649","ingroup","outgroup","PerformedHow many tails did your test have?"
"2650","ingroup","outgroup","Also, if there’s no significant difference, then you cannot reject the null hypothesis."
"2651","outgroup","outgroup","This is the direct opposite of your hypothesis, and the following sentence."
"2652","outgroup","outgroup","The p-value was very high – do you think that a significant difference might emerge if you did more trials, or do you really think that there just isn’t any difference in betta aggression to other bettas vs other species? It seems to me that the latter is probably true. Can you connect this to a bigger concept in evolution/ecology?"
"2653","outgroup","outgroup","You already said this, no need to repeat it."
"2654","ingroup","outgroup","conspecific"
"2655","ingroup","outgroup","Great job explaining your points system. But…What stats test did you perform and on what data?"
"2656","outgroup","outgroup","Here would be a great place to mention artificial selection"
"2657","outgroup","outgroup","Right, so until now you have limited your interpretation of the data to just reduced vision and energetic costs of aggression. Can you talk a little more about the implications or interpretation of there being a significant reduction of aggressive behaviors in the murky water, i.e. the native habitat, of these aquarium fish?  I think this is an important aspect of your study and would be interested to hear what your ideas are."
"2658","ingroup","outgroup","Include those means for the next report."
"2659","ingroup","outgroup","Ask me or one of your group members to help you with how to properly make your graphs"
"2660","outgroup","outgroup","From where?"
"2661","ingroup","outgroup","I should be able to follow exactly what you did by reading your methods section down to the volumes and the wavelength your spec was set to…"
"2662","outgroup","outgroup","Please refer to the Biocore Resource Guide to see what should go into each section of the lab report. There should be a lot more in every section. Come talk to me if you are still unsure of what is expected. The rubric of which I am grading your report is also on Sakai."
"2663","ingroup","outgroup","The table doesn’t exist in this report. There shouldn’t be a table anyway, include what would’ve been in your table into your methods section directly"
"2664","outgroup","outgroup","There needs to be at least 5 primary resources. Look up what primary resources are and be sure to include it into your report."
"2665","ingroup","outgroup","There should be citations and background information in this section."
"2666","outgroup","ingroup","This is not acceptable. You should have background information backing up your findings here as well – studies to compare yours with and describe mechanistically why salinity would affect photosynthetic rate."
"2667","outgroup","ingroup","Title should VERY briefly state the main takeaway of your experiment"
"2668","ingroup","outgroup","What is this made of?"
"2669","ingroup","outgroup","What we labeled our tubes isn’t important"
"2670","ingroup","outgroup","Which one?"
"2671","outgroup","outgroup","2?"
"2672","outgroup","outgroup","I may choose to leave this part out as JH in insects is well studied."
"2673","outgroup","outgroup","I think you may have the name wrong."
"2674","ingroup","ingroup","JH and ecdysterone are not opposites of each other. Even in elevated JH levels, we would still expect ecdysterone to function normally (With the exception of the commitment pulse) and signal molting as it has done. However, since JH would still remain high, we would expect another instar rather than pupal eclosion."
"2675","ingroup","ingroup","The error bars seem to have been done with the default function Excel provides as they aren’t centered on the points. If you need help with the standard deviation bars, email me so that we can meet or see the resource guide under “displaying data.”"
"2676","ingroup","ingroup","The physical labeling process isn’t needed as labeling them differently or not even having a label (and having a separate way to differentiate the worms) would not affect the reproducibility of the experiment."
"2677","ingroup","outgroup","This isn’t necessary as you can assume the readers will know how to use a balance."
"2678","ingroup","ingroup","This should just be included in the graph as the actual numerical value isn’t going to be a focus in your discussion."
"2679","ingroup","ingroup","This was the reason for the mixing. Unless there is reason to believe a group member may not have mixed the IGR into the food well, I wouldn’t necessarily list this here."
"2680","outgroup","outgroup","Would this mean increasing the concentration daily in each worm or having multiple treatment groups with some having higher concentrations?"
"2681","outgroup","outgroup","?"
"2682","ingroup","ingroup","1x of what?"
"2683","ingroup","outgroup","ANOVA tests variances"
"2684","ingroup","outgroup","Delete gridlinesSpecify CO2 concentrations instead of “group 1 or 2”"
"2685","outgroup","outgroup","Explain this as well. Use primary resources as a means of supporting what you are trying to say. Not just placing sentences in there."
"2686","outgroup","ingroup","Give a brief intro telling the audience what led you to want to study different CO2 levels"
"2687","outgroup","outgroup","Plagiarized"
"2688","ingroup","outgroup","Refer to the concentrations of CO2 as your treatments, not  “Group 1 or 2”"
"2689","outgroup","ingroup","Title should VERY briefly state the main takeaway of your experiment"
"2690","ingroup","ingroup","What about the chlorophyll’s content?"
"2691","ingroup","outgroup","Which one?"
"2692","outgroup","outgroup","Hypotheses are never correct/incorrect. Rather, they are/aren’t “supported” by your data"
"2693","ingroup","outgroup","In the future, it would be better to build your graph with just 1 series instead of 2. Then have the treatments as x axis labels instead of as a legend"
"2694","ingroup","outgroup","Need to refer to the figures here, after you talk about each dependent variable"
"2695","outgroup","outgroup","This can be left out. You’ll end up talking about what the graph shows within the results and interpreting the meaning of those within the discussion."
"2696","outgroup","outgroup","Don’t need this sentence."
"2697","outgroup","outgroup","Don’t need this."
"2698","ingroup","outgroup","Paired t-test"
"2699","ingroup","ingroup","This graph is shown with more detail by the line graph below so this graph is not needed."
"2700","ingroup","ingroup","Ah, so it didn’t move directly towards the Physarum. Here it’s important to make that distinction in how you took measurements in your methods section. Did you go based on leading edge? If so, this data point would probably be inconclusive in the results section. Did you go based on a central axis upon which you took measurements? Instead, that’d be different."
"2701","ingroup","outgroup","At what temp?"
"2702","ingroup","outgroup","But that’s not what you saw."
"2703","outgroup","ingroup","Huh? This wasn’t in your results! Why inconclusive?"
"2704","outgroup","ingroup","I would somehow connect this sentence to the preceding one comparing Physarum signaling to that of humans."
"2705","outgroup","ingroup","I’m going to torture you into looking up whether or not Physarum is capable of making glycine, because it was definitely exposed to it—your stock cultures were grown on plates containing agar, so this isn’t your answer."
"2706","ingroup","outgroup","Or a distance away from?"
"2707","ingroup","ingroup","So, did you differentiate between distance traveled to glucose vs. glycine? How so?"
"2708","ingroup","outgroup","Stats?!"
"2709","outgroup","outgroup","This is repetitive."
"2710","ingroup","ingroup","This…standard deviation doesn’t make sense."
"2711","outgroup","outgroup","You already have that info in proceeding sentences, so it just adds extra words."
"2712","ingroup","ingroup","Good graph, but not a complete caption. What do the different colors represent? What do the error bars represent? Are these averages? If so, how many caterpillars were averaged?"
"2713","outgroup","ingroup","Your t-test is very not significant (p-value far above 0.05), so why do you say that it supported the hypothesis?"
"2714","ingroup","ingroup","Consider the x-axisIt could be Muscle ID (that would be Muscle 1, Muscle 2 and Muscle 3). Then, you could specify the treatment by colors."
"2715","outgroup","ingroup","Instead of saying this, you could mention the results displayed in that figure."
"2716","ingroup","outgroup","No, those receptors also function as channels that move Na+ and K+ ions."
"2717","ingroup","ingroup","So, if it is not necessary, then why would you want to do it. I think that is not necessary in your discussion. In this section just focus on interpreting the results. Do not suggest things that are not relevant or are not explanation of the obtained results."
"2718","ingroup","outgroup","There was only one figure"
"2719","outgroup","ingroup","These are probably applications of your study, or the relevance of conducting studies like that one. Emphasize that in the text."
"2720","outgroup","outgroup","This is unnecessary in the Abstract"
"2721","ingroup","ingroup","This will be more obvious if you change the x-axis. In that case, you don’t need to specify which bar corresponds with each leg."
"2722","ingroup","ingroup","What was the main obtained result? You could briefly mention that here."
"2723","outgroup","outgroup","Why are you suggesting an alteration of the experiment?"
"2724","ingroup","ingroup","You can include the outcome from statistical analysis with the corresponding result. Avoid using separate sentences just for the statistical analysis."
"2725","ingroup","outgroup","Did you use a two sample t-test or a paired t-test? (Your results say paired t-test)"
"2726","outgroup","outgroup","Again, I said no copy/pasting between abstract and intro."
"2727","outgroup","outgroup","I’m not sure this fits here, because you’re not telling me how this affected your overall results."
"2728","outgroup","outgroup","This is a little repetitive."
"2729","outgroup","outgroup","This is confusing."
"2730","outgroup","outgroup","This still has no support."
"2731","ingroup","outgroup","We always want to have figures numbered in order shown."
"2732","outgroup","outgroup","But why would this be? At what wavelength of light does chlorophyll absorb. What even is chlorophyll?!?!11!"
"2733","ingroup","outgroup","Did you exclude it?"
"2734","ingroup","ingroup","Did you follow up with a Tukey-Kramer? What were the results of that? How did red and blue compare statistically?"
"2735","ingroup","outgroup","Embed your (in)dependent variables here."
"2736","ingroup","outgroup","Good caption! But maybe include p-values from a Tukey-Kramer."
"2737","outgroup","outgroup","How would you improve your experiment? Why is this important to study?"
"2738","ingroup","outgroup","I can’t replicate this."
"2739","outgroup","ingroup","I need some information about the light-dependent reactions because you only looked at those. Tie that biological background information to absorbance by explaining why you used DCPIP; make the connection between absorbance, percent change, and photosynthetic rate explicit. Also, try to reorganize this a bit; maybe think about introducing how different environmental factors, like light, affect photosynthesis, then explain your experiment and rationale."
"2740","ingroup","ingroup","I want to see these means and SDs in the results."
"2741","outgroup","outgroup","In plants at least…"
"2742","ingroup","outgroup","Results!!"
"2743","outgroup","outgroup","Reword!"
"2744","outgroup","outgroup","Run-on"
"2745","outgroup","outgroup","Seems a little out-of-place here (I don’t know what this means just yet)."
"2746","outgroup","ingroup","Wait. Then why was your hypothesis different?"
"2747","ingroup","outgroup","Was one…white light?"
"2748","ingroup","ingroup","What about green? Did you have a control?"
"2749","ingroup","ingroup","What time points did you compare?"
"2750","ingroup","ingroup","A sentence about why you are using this organism would be good."
"2751","outgroup","outgroup","Don’t use this term if it was not statistically significant because it can cause confusion. “Notably” might be a better choice."
"2752","ingroup","ingroup","If the contractile times were faster for both control and experimental on this leg, this would not affect the overall significance of your tests since the frog is being compared to itself."
"2753","outgroup","ingroup","Leave exact amounts for the methods. No need to include it here."
"2754","ingroup","outgroup","Remember to put title after figure number before continuing with the rest of the caption. What do your error bars represent?"
"2755","outgroup","outgroup","supported"
"2756","outgroup","outgroup","supports"
"2757","ingroup","ingroup","While this technically fills the requirement, having more than one piece of primary literature would be good."
"2758","ingroup","ingroup","ACh is not involved in the propagation of the action potential. It is involved in the synapse and it is required for the generation of an AP in the muscle."
"2759","outgroup","outgroup","Comments like that one are not used in scientific publications."
"2760","ingroup","ingroup","No, you cut it the Achilles tendon but keeping the portion that was joined to the gastrocnemius muscle"
"2761","ingroup","ingroup","Reconsider the y-axisAmplitude of Contraction (V)"
"2762","outgroup","ingroup","Can you relate this ti summation and tetanus. Otherwise, it is not clear why did you explain those terms."
"2763","ingroup","ingroup","Can you specify the used voltage to generate those contractions?"
"2764","outgroup","outgroup","Reconsider the hypothesis. Did you think that the caffeine caused the muscle contractions? Then, why did the muscle contract without caffeine?"
"2765","ingroup","ingroup","Reconsider the y-axisAmplitude of Contraction (V)"
"2766","ingroup","ingroup","Specify the voltage of stimulation/ Were those obtained at threshold or suprathreshold stimuli?"
"2767","ingroup","outgroup","Specify the voltage values"
"2768","ingroup","ingroup","The myogram is the temporal representation of the contraction, so you didn’t collect contractions using a myogram"
"2769","ingroup","outgroup","Those channels move Na+ and K+"
"2770","ingroup","ingroup","You should also make a point in this figure about the increase in the strength of contraction with increments of the stimulation voltage"
"2771","outgroup","outgroup","?"
"2772","ingroup","outgroup","“Petri dish” or “plates”"
"2773","ingroup","ingroup","Compare in terms of stat significance rather than avg distance values"
"2774","ingroup","ingroup","define the test groups"
"2775","outgroup","outgroup","Does that mean Physarum placed in a water-agar medium with an external stimuli (food) would not grow at all? Is that what you observed in your previous week’s experiment as well?"
"2776","ingroup","ingroup","don’t label control/test1. Keep your control and treatment separate. It’s not clear whats your test#2 and test#3 are"
"2777","ingroup","ingroup","don’t report avg. distances, this is more suitable as a supplement. Try to find a pattern and indicate accordingly."
"2778","ingroup","ingroup","I would rather clearly indicate treatment (test compound vs. control) and report stat values with correct format rather than putting it this way"
"2779","outgroup","ingroup","I would re-think about it. Also, identify possible reasons why control group did not exhibit growth and how you could improve your current exp design plan"
"2780","outgroup","outgroup","informal"
"2781","outgroup","ingroup","is the figure directly from your lab manual? Then you need to provide reference."
"2782","ingroup","ingroup","Mention that Physarum stock was already prepared prior your experiment. You can include dilution details, 2%water-agar prep details, and block dimension specification and prep in a guideline table as a supplement to improve this section"
"2783","ingroup","ingroup","mention that picked three streams from each replicate with three readings and took avg values to conduct stat analysis"
"2784","ingroup","ingroup","needs citation"
"2785","ingroup","ingroup","needs citation"
"2786","ingroup","ingroup","Not necessary in discussion. Reporting stat results would be more appropriate"
"2787","ingroup","outgroup","provide critical value of p to determine how you decided on significance"
"2788","ingroup","outgroup","provide molarity"
"2789","outgroup","ingroup","Rather than starting with this statement, you need to provide background information about Physarum, their transduction pathways and provide evidence with primary literature that A23187 increases cytoplasmic streaming."
"2790","ingroup","outgroup","Was it significant? Report the values in parenthesis at the end of the sentence."
"2791","ingroup","outgroup","Was it statistically significant? Also, include highlights from your discussion"
"2792","outgroup","ingroup","You discussion should include implications of your experimental design at a broader context"
"2793","outgroup","outgroup","Always proximate, not ultimate"
"2794","outgroup","ingroup","Why? What is the benefit?"
"2795","outgroup","ingroup","Make sure you tie your findings back to the big picture"
"2796","ingroup","ingroup","Report whether there was a significant difference and the statistical values"
"2797","outgroup","outgroup","You need one more sentence stating the relevance or importance of the study. What do your results tell you about visual perception and aggression?"
"2798","outgroup","ingroup","You need to include a sentence that explains the role of color perception in aggression to connect the dots."
"2799","outgroup","ingroup","I understand your reasoning behind this. However, the Ach already present only inhibits further release of Ach according to your paper. If the Ach hang around while the receptors are not inhibited, we would still receive contraction. (The Ach also doesn’t stick around very long)."
"2800","ingroup","outgroup","I would show this as a graph with standard deviation error bars"
"2801","ingroup","outgroup","If you have it, I would include the width as well (How long the pulse lasted)"
"2802","ingroup","ingroup","Are these averaged values? Then you are missing the SDStimuli amplitudeResponse before caffeine? What are you considering response here? Is the Amplitude of contraction? Missing units"
"2803","outgroup","ingroup","Can you be more specific? Specify the species and the studied muscle"
"2804","ingroup","ingroup","Check your axesy-axis: Amplitude of contraction (V)x-axis: Specify which is the independent variable.Specify that the amplitude of the title was the stimuli applied"
"2805","ingroup","outgroup","Do something similar to what I did for this figures captions"
"2806","ingroup","ingroup","I don’t understand this. You should describe here the information that you are showing in the table 1"
"2807","outgroup","outgroup","Is this your prediction? Can you make it more clear"
"2808","outgroup","ingroup","Keep this for the results."
"2809","ingroup","outgroup","Missing the journal number and pages"
"2810","outgroup","ingroup","Missing the obtained results. That should be included in the Abstract"
"2811","ingroup","outgroup","No treatment group"
"2812","ingroup","outgroup","No treatment group."
"2813","ingroup","ingroup","These are not the results. That looks like figure captions. You should describe here the main observations from the graphs and the table. The tendencies."
"2814","outgroup","ingroup","This was your prediction, then you should mention it like that. Instead I would mention the effect of caffeine in the relaxation process of the muscle and then state your prediction."
"2815","ingroup","outgroup","Use this as an example of a figure legend. In each figure you can average the information from the 3 frog legs, not just 1"
"2816","ingroup","ingroup","What were those amplitudes? You did this for both conditions, but you are describing it like if you only did it after injection"
"2817","outgroup","outgroup","You already mentioned that you did the same for each leg"
"2818","ingroup","ingroup","You didn’t have different legs for control and experimental groups. The same leg was for both conditions, so write everything in correspondence with that."
"2819","ingroup","outgroup","You should not display the same information twice"
"2820","outgroup","outgroup","Difference in what?"
"2821","outgroup","outgroup","Consider ending with a broader statement about why this type of research is important."
"2822","outgroup","outgroup","Not necessary"
"2823","ingroup","outgroup","Units?"
"2824","outgroup","ingroup","You need a bit more explanation as to why you predict this. Saying potassium “regulates” contraction is not enough to explain this specific prediction."
"2825","ingroup","ingroup","You need a sentence about why you chose Rana pipiens as a model organism"
"2826","ingroup","outgroup","Correct format: Correct format for reporting: t-stat=_, d.f.=_, P=_ Refer to Bio Resource Guide for more details."
"2827","ingroup","ingroup","hemocytometer is actually the essential part."
"2828","outgroup","outgroup","infromal"
"2829","ingroup","outgroup","Should mention that your used %change formula to convert your raw absorbance data"
"2830","ingroup","outgroup","Still a recipe-style writing. You could open your section by saying that “The slurry/ground mixture of chickweed was centrifuged using (name of the machine we used to centrifuge) at XG, Xrmp, at Xdegrees for Xmins to extract/isolate the chloroplasts. Any debris was removed and the solution was centrifuged again (mention specifications). The pellet was isolated and treated with Hill reaction assay (Table# provided in the supplement) to quantify photosynthesis activity. The absorbances were recorded…”"
"2831","ingroup","outgroup","You don’t need to list, your reagent table should already account for this"
"2832","ingroup","outgroup","Additionally you must report the measured values with the statistical value."
"2833","ingroup","ingroup","Change this figure caption based on my comments for the first figure caption."
"2834","ingroup","outgroup","Did you record six or three myograms in each condition?"
"2835","outgroup","outgroup","Is this your hypothesis? Make it clear"
"2836","ingroup","outgroup","Missing statistical analysis"
"2837","ingroup","ingroup","Missing y-axis. Is this the amplitude of the threshold or the amplitude of the contraction that was generated at the threshold?Specify the y-axis depending on that"
"2838","ingroup","outgroup","There was not experimental group. Write the methods in correspondence with that."
"2839","ingroup","outgroup","There were not control and experimental groups. The same muscle was analyzed n both conditions."
"2840","ingroup","outgroup","They were neither control nor experimental group."
"2841","ingroup","outgroup","This citation only is not enough. You need another citation, not only the lab manual."
"2842","outgroup","ingroup","This is the actual result. It should go before you conclude supporting the hypothesis or not."
"2843","outgroup","ingroup","Work in this sentence. Make it nicer"
"2844","ingroup","ingroup","y-axis.Can you be more specific? Something like this could be the y-axis.Threshold of contraction (V)"
"2845","ingroup","ingroup","You should mention this after you describe the observed result"
"2846","ingroup","outgroup","Incorrect labeling. Should be fig. 3"
"2847","ingroup","outgroup","Indicate control or treatment"
"2848","ingroup","ingroup","Needs citation as indicated in Submission"
"2849","ingroup","outgroup","specimen"
"2850","outgroup","outgroup","This info could actually go in supplement"
"2851","outgroup","ingroup","This should go in supplement information. You should have rather mentioned your test compound treatment, i.e. treatment plates soaked in diluted test compound solution for ten minutes and drained."
"2852","outgroup","outgroup","informal"
"2853","outgroup","outgroup","informal"
"2854","outgroup","outgroup","informal"
"2855","outgroup","outgroup","informal"
"2856","ingroup","outgroup","It was your test species to focus on photosynthesis rather than your study organism."
"2857","ingroup","ingroup","Missing details of xG, temperature, and time."
"2858","ingroup","outgroup","should have included %change formula and indicate that it was used to convert your raw data"
"2859","ingroup","outgroup","That’s your reagent table"
"2860","ingroup","outgroup","Unnecessary detail because they are the ingrdients of Hill reaction assay"
"2861","ingroup","outgroup","If the number of pulses wasn’t 1, you would also need to include frequency."
"2862","outgroup","outgroup","Why? What does Lidocaine do and what role the thing lidocaine act on normally do?"
"2863","ingroup","outgroup","Avoid this. Since the stat’s weren’t significant, you can’t say that xxx was higher than yyy"
"2864","outgroup","outgroup","In the future, focus on just discussing biological mechanisms and comparing to the literature, instead of speculating on sources of error"
"2865","ingroup","outgroup","Make sure to refer to the figures here"
"2866","ingroup","ingroup","Analyzing data for each leg independently leads to pseudo-replication. Compare control vs treatment groups and not legs."
"2867","ingroup","ingroup","Merge by average of leg 1 and leg 2 then re-do the t-test and graph."
"2868","outgroup","outgroup","Methods not required in your introduction for experimental studies"
"2869","outgroup","outgroup","No interpretation. Just trends"
"2870","ingroup","outgroup","References format is inconsistent. Use MLA or APA throughout."
"2871","ingroup","outgroup","All your numbers should have units"
"2872","ingroup","ingroup","For which data? The threshold or the contraction amplitude"
"2873","ingroup","outgroup","I don’t think you actually reference this figure anywhere?"
"2874","ingroup","outgroup","should this be figure 3?"
"2875","ingroup","outgroup","units"
"2876","ingroup","ingroup","you should state this before your statistics"
"2877","outgroup","outgroup","Again, write this as if I have no idea about any of this."
"2878","outgroup","outgroup","Did you proofread this?"
"2879","ingroup","outgroup","For the next lab report, make sure your error bars are fitted to each data point; I can help with that!"
"2880","ingroup","outgroup","I asked for means and SDs here too."
"2881","ingroup","outgroup","Tails?"
"2882","outgroup","outgroup","This is awkward."
"2883","ingroup","ingroup","Why does your figure show average percent change in absorbance then? Keep things consistent—if you plan to compare the mean absorbances, your figure should do so as well."
"2884","outgroup","ingroup","Good job adding more info to the discussion section, and adding citations, but it should be more concise. For example, avoid your list of questions"
"2885","ingroup","ingroup","I’m not exactly sure what these tables are showing"
"2886","outgroup","outgroup","Increasing sample size or collecting more data is good for ALL experiments. Instead, focus on discussing biological mechanisms rather than sources of error."
"2887","outgroup","outgroup","Still need to have hypothesis in the abstract"
"2888","ingroup","outgroup","10"
"2889","ingroup","outgroup","2% water agar"
"2890","outgroup","ingroup","avoid reporting stat values in abstract, you can mention that your results were statistically significant"
"2891","outgroup","outgroup","back-to-back sentences starting with therefore"
"2892","outgroup","outgroup","capitalize P"
"2893","ingroup","outgroup","correct the figure number in the image to clear confusion"
"2894","ingroup","outgroup","dH20"
"2895","outgroup","outgroup","don’t abbreviate"
"2896","outgroup","outgroup","don’t mention about your control result in the abstract if don’t suggest ways to improve or identify reasons"
"2897","outgroup","outgroup","informal"
"2898","outgroup","outgroup","informal"
"2899","outgroup","outgroup","informal"
"2900","outgroup","outgroup","informal"
"2901","ingroup","ingroup","mention that Physarum stock was already prepared/grown prior to experiment"
"2902","ingroup","outgroup","mention the critical value you considered to be significant"
"2903","ingroup","outgroup","mm"
"2904","ingroup","ingroup","needs citation"
"2905","ingroup","outgroup","recommended 18-24 hours range"
"2906","ingroup","outgroup","report stat values"
"2907","outgroup","outgroup","revise"
"2908","outgroup","outgroup","revise"
"2909","outgroup","outgroup","revise"
"2910","outgroup","outgroup","revise"
"2911","outgroup","outgroup","revise or break-up in smaller sentences"
"2912","ingroup","ingroup","You could actually include dilution calc info, 1x1cm square info, how 2% water agar medium was prepared—all these in your reagent table."
"2913","ingroup","ingroup","Am I correct in saying the first p-value is for the amplitude of the muscle at the threshold, and then the second p-value is for the actual threshold values? When stating your p-values, you should also state the t-statistic and degrees of freedom"
"2914","outgroup","ingroup","Does this source describe this process? Did it test this process in something else?"
"2915","ingroup","outgroup","I would have these bars labelled as control and treatment. Also, your error bars look the same for both bars, making me think they are not correct."
"2916","outgroup","ingroup","If your results are not significant, is this really true?"
"2917","outgroup","ingroup","Include an introductory sentence or two , and mention the specific species, muscle, and chemical you are working with"
"2918","ingroup","ingroup","Is this the contraction amplitude?"
"2919","ingroup","outgroup","Mention your sample size, what error bars represent, statistical results, etc."
"2920","outgroup","outgroup","Same here, actually discuss your primary literature"
"2921","ingroup","ingroup","So then your hypothesis is rejected, due to your experimental and statistical results"
"2922","outgroup","outgroup","This is not a very scientific way of phrasing this"
"2923","ingroup","ingroup","What does the citation at the end of this sentence reference? Specifically discuss what the paper is talking about"
"2924","ingroup","ingroup","What statistical test did you use?"
"2925","ingroup","outgroup","Your averages should also include standard deviations"
"2926","outgroup","outgroup","Your hypothesis should come last in your intro"
"2927","outgroup","ingroup","Your introduction needs more background info on the species you are using, and info on your chemical."
"2928","ingroup","ingroup","Because the same leg served as the control and experimental, I would recommend using a paired t-test instead."
"2929","ingroup","outgroup","I would include the number of pulses and the width for each of these voltages"
"2930","outgroup","ingroup","I would try to shorten this method section (For the abstract, you can simply say the amplitude of the response was recorded with and without lidocaine). Instead, I would try to include a sentence or 2 about What lidocaine does and what sodium normally does (just vaguely)."
"2931","outgroup","ingroup","This seemed strange so I took a look at your article. Lidocaine could ultimately affect calcium release (due to the role sodium plays in muscle contraction) but it shouldn’t have any effect on creation of calcium ions."
"2932","ingroup","ingroup","This shouldn’t be an issue. The frogs are euthanized around 5 minutes after our lab begins."
"2933","ingroup","outgroup","You don’t need to include anything specific to the program used. Simply saying that it was recorded (You already included the important details above the stimulus above) is enough."
"2934","outgroup","ingroup","As I said in my comments on your previous submission (and in class, and in the resource guide), DO NOT talk about the hypothesis in the Results. It will cause the report to fail (and this is otherwise a very good report). If you are confused, please come set up a time to meet with me and go over this."
"2935","ingroup","ingroup","Explain what the error bars represent in your figure caption/legend, not here."
"2936","ingroup","outgroup","See p. 42 in the Resource Guide for correct citation formatting"
"2937","ingroup","ingroup","What statistical test(s) did you run on the data?"
"2938","outgroup","outgroup","You can leave this out"
"2939","outgroup","ingroup","You could put this in the results."
"2940","ingroup","outgroup","This should be a lowercase p"
"2941","ingroup","outgroup","Try this next time: “The R:S mass ratio of plants watered with saline solution was not significantly different than for the control plants (t=, df=, p=)"
"2942","outgroup","outgroup","What does this fragment belong to?"
"2943","outgroup","outgroup","Increasing sample size is always good, for all experiments. Focus on your other ideas for future directions, like other plants or other colors of light"
"2944","ingroup","ingroup","It would be better to show the results, even when they’re not significant"
"2945","ingroup","ingroup","No need to show the same data in a table and in a figure. An easier way to do this would be to just have a separate graph for each dependent variable, and 2 columns per graph."
"2946","outgroup","outgroup","Can bettas mate with guppies?"
"2947","ingroup","outgroup","Did you really compare bettas alone to bettas with guppies? Is that a fair comparison?"
"2948","ingroup","outgroup","Do not put the same data in a figure and a table"
"2949","ingroup","outgroup","Just say no significant difference between treatments (t = , df = , p =)"
"2950","ingroup","outgroup","Report the means and standard deviations of the behavior (mean +/- sd)"
"2951","outgroup","outgroup","This is synonymous with “aggressive”"
"2952","outgroup","ingroup","True, but you never actually explain what you learned about betta behavior"
"2953","outgroup","ingroup","You need to start more broadly. What are the underlying concepts?"
"2954","outgroup","ingroup","You need to start more broadly. What is aggression? What are its costs and benefits? Why use betta fish? Be very specific."
"2955","ingroup","outgroup","You need to use citations to support your claims. Otherwise, this is just hand waving. Research sensory stimuli for betta aggression."
"2956","outgroup","outgroup","You need to use primary literature in the intro and discussion (one of the basic criteria). This is an automatic failing grade."
"2957","ingroup","outgroup","Reference your graph using “Figure #”"
"2958","outgroup","outgroup","The first few sentences are a little unclear."
"2959","ingroup","outgroup","These figures need captions."
"2960","ingroup","ingroup","These figures need work.  Making all of the treatment red and all of the control blue would be a good way to fix this, but more would still nee to be done."
"2961","ingroup","ingroup","This should be written in paragraph form, and would fit well when you talk about the respective results"
"2962","ingroup","outgroup","Two sample t-test"
"2963","ingroup","outgroup","Surname of the 1st Author only."
"2964","outgroup","outgroup","All the other background info here is true, but you need to have some more background info about salt specifically. How might it change resource allocation?"
"2965","outgroup","ingroup","Give some indication of the results here. Does/does not affect"
"2966","ingroup","ingroup","Need to have axis labels and units, no title, and more information in the figure description"
"2967","outgroup","outgroup","The critical mistake here is the lack of peer-reviewed primary resources. Citing the lab manual is ok, but you have to have other references too. See me if you have questions about this"
"2968","ingroup","outgroup","Can you cite your source? This should apply to all established facts that are not your original work."
"2969","outgroup","ingroup","It is better to discuss the results in relation to your hypothesis before the errors or mistakes encountered."
"2970","ingroup","ingroup","Make a new graph comparing control vs treatment means. Make sure your results reflect change in weight and not the final weight. This is necessary because your caterpillars started with different masses."
"2971","ingroup","ingroup","Needed is the effect of IGR on control vs treatment group, not on individual caterpillar."
"2972","ingroup","outgroup","State the results first and then conclusion."
"2973","ingroup","ingroup","State the study objective first and explain why is M.sexta a good model organism for your experiment?"
"2974","ingroup","outgroup","Which year was this study published?"
"2975","ingroup","ingroup","any time you have an average graphed, you will need standard deviation bars (The standard deviation error bar option on excel doesn’t work properly, take a look at the resource guide or email me to learn how to add it properly)"
"2976","ingroup","ingroup","As we are less interested in the exact values as the change/difference in these changes for the groups, a graph already displays the same data. As such, I would opt for only having the graph."
"2977","ingroup","ingroup","As you’re more interested in the total difference in mass rather than the change for each day, you could use a bar graph showing the difference between final/initial mass"
"2978","ingroup","ingroup","I would try for the difference in mass between the final and initial day as this then takes into consideration that some caterpillars may have initially been bigger."
"2979","outgroup","outgroup","Missing outside sources (Basic criteria)"
"2980","outgroup","outgroup","“like” is an informal term, consider “such as” instead. Use your best judgement to locate informal/colloquial terms in the rest of the report and revise."
"2981","outgroup","outgroup","Again, informal"
"2982","outgroup","outgroup","And thus"
"2983","ingroup","ingroup","Another potential reason could be error in isolating the chloroplasts from the leaves. Recall that you didn’t actually record the relative density of chloroplast this time. Going through that step to ensure your sample actually had a high density of chloroplast would be an effective way to ensuring that you had chloroplast in your treatment to begin with."
