unique.record,report.id,sort,report.title,student,course,ta,lab,tag,type.TA,grade.TA,grading.time,Rank,hypothesis.ok,data.ok,citation.ok,interpretation.ok,organization.ok,techflaws.ok,writing.ok,comments.incorporated,ta.comment,code.subject,code.structure,code.locus,code.scope,code.tone,code.notes
Sp18.00590,R_0UL7ApzV3ZhwMxT,553,,Std_ru0R5p2a,114,TA_kLMtS9Cu,manduca,first,Revision,B,25,,Yes,Yes,Yes,Yes,No,No,Yes,Somewhat,You already mentioned this information,2. Writing Quality,Copy Correction,Directive,Within Report,Neutral,
Sp18.00591,R_0uotgWujq2PuJJb,554,,Std_oiS1EktC,113,TA_bc8EVX09,allocation,first,Submission,F,12,,Yes,Yes,No,Yes,Yes,No,Yes,,Be specific. What was the effect?,3. Technical and Scientific,Specific info,Directive,Within Report,Neutral,
Sp18.00592,R_0uotgWujq2PuJJb,555,,Std_oiS1EktC,113,TA_bc8EVX09,allocation,first,Submission,F,12,65,Yes,Yes,No,Yes,Yes,No,Yes,,Can you really conclude that there is no change? What if something just went wrong? There’s a lot of literature out there stating the opposite… ,4. Logic and Thinking,Holistic,Reflective,Within Report,Neutral,
Sp18.00593,R_0uotgWujq2PuJJb,555,,Std_oiS1EktC,113,TA_bc8EVX09,allocation,first,Submission,F,12,66,Yes,Yes,No,Yes,Yes,No,Yes,,"Also, what does this mean for agriculture? You mentioned it in the introduction, so you should mention it again the discussion. ",4. Logic and Thinking,Holistic,Reflective,Within Report,Neutral,
Sp18.00594,R_0uotgWujq2PuJJb,556,,Std_oiS1EktC,113,TA_bc8EVX09,allocation,first,Submission,F,12,,Yes,Yes,No,Yes,Yes,No,Yes,,"Great caption, nice figure.",5. Praise or Concern,General info,Explanatory,Within Report,Positive,
Sp18.00595,R_0uotgWujq2PuJJb,557,,Std_oiS1EktC,113,TA_bc8EVX09,allocation,first,Submission,F,12,,Yes,Yes,No,Yes,Yes,No,Yes,,Make sure you mention the alpha value,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral,
Sp18.00596,R_0uotgWujq2PuJJb,558,,Std_oiS1EktC,113,TA_bc8EVX09,allocation,first,Submission,F,12,,Yes,Yes,No,Yes,Yes,No,Yes,,"Not necessarily. There’s plenty of water in the rainforest and sunlight in the desert. What’s important for plant allocation is the distribution of resource scarcity, not the scarcity itself. ",3. Technical and Scientific,Specific info,Reflective,Within Report,Neutral,
Sp18.00597,R_0uotgWujq2PuJJb,559,,Std_oiS1EktC,113,TA_bc8EVX09,allocation,first,Submission,F,12,,Yes,Yes,No,Yes,Yes,No,Yes,,"OVERALLOlivia, your introduction, methods, and results section were all very solid. The intro does need to be reorganized to improve the clarity of your reasoning, but it is otherwise very solid. Unfortunately, you fell off the rails a bit in the discussion You need to expand upon your points and support your claims with primary literature (a basic criterion). F",12. Narrative Comments,Specific info,Directive,Within Report,FLAG,
Sp18.00598,R_0uotgWujq2PuJJb,560,,Std_oiS1EktC,113,TA_bc8EVX09,allocation,first,Submission,F,12,,Yes,Yes,No,Yes,Yes,No,Yes,,"This is a good point, but it belongs earlier in the paragraph. I would use this as a justification for investigating the effects of wavelength on allocation strategy. ",2. Writing Quality,Specific info,Directive,Within Report,Neutral,
Sp18.00599,R_0uotgWujq2PuJJb,561,,Std_oiS1EktC,113,TA_bc8EVX09,allocation,first,Submission,F,12,,Yes,Yes,No,Yes,Yes,No,Yes,,Which functions? Be specific and use some primary literature to support your points. ,4. Logic and Thinking,Specific info,Directive,Within Report,Neutral,
Sp18.0060,R_0uotgWujq2PuJJb,562,,Std_oiS1EktC,113,TA_bc8EVX09,allocation,first,Submission,F,12,,Yes,Yes,No,Yes,Yes,No,Yes,,You don’t need to include the p-values of other studies,3. Technical and Scientific,Copy Correction,Directive,Within Report,Neutral,
Sp18.00601,R_0uotgWujq2PuJJb,563,,Std_oiS1EktC,113,TA_bc8EVX09,allocation,first,Submission,F,12,,Yes,Yes,No,Yes,Yes,No,Yes,,You need to include primary literature in your discussion. It’s an automatic failing grade if you do not.,1. Basic Criteria,General info,Directive,Within Report,Neutral,
Sp18.00602,R_0v5RXT59l6fSeG1,564,,Std_DQQKHR5x,114,TA_TaMqWbpv,manduca,first,Revision,A,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Maybe put this later than the overall background you start talking about in the next couple sentences,2. Writing Quality,Specific info,Directive,Within Report,Neutral,
Sp18.00603,R_0v5RXT59l6fSeG1,565,,Std_DQQKHR5x,114,TA_TaMqWbpv,manduca,first,Revision,A,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"They should be different for the different groups, not both .7114",3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral,
Sp18.00604,R_0v5RXT59l6fSeG1,566,,Std_DQQKHR5x,114,TA_TaMqWbpv,manduca,first,Revision,A,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,You can state your p-value here to back this up,3. Technical and Scientific,Specific info,Directive,Within Report,Neutral,
Sp18.00605,R_0VTI71KbOLLFRcx,567,,Std_nTrseYPd,114,TA_l0zDB5kQ,manduca,first,Submission,F,13,,Yes,Yes,No,Yes,Yes,No,No,,Be sure to include figure captions for next time!,3. Technical and Scientific,General info,Directive,Beyond Report,Neutral,
Sp18.00606,R_0VTI71KbOLLFRcx,568,,Std_nTrseYPd,114,TA_l0zDB5kQ,manduca,first,Submission,F,13,,Yes,Yes,No,Yes,Yes,No,No,,Good figure!,5. Praise or Concern,General info,Explanatory,Within Report,Positive,
Sp18.00607,R_0VTI71KbOLLFRcx,569,,Std_nTrseYPd,114,TA_l0zDB5kQ,manduca,first,Submission,F,13,,Yes,Yes,No,Yes,Yes,No,No,,"Grade: 1  TF Good work, but you NEED to include a citation in your intro and discussion next time.  The lab manual does not count (Johnson 2018 does not count).This report is also very much like your sister’s.  Do make sure you two work separately or this could become plagiarism.",12. Narrative Comments,General info,Directive,Within Report,Negative-reasonable,
Sp18.00608,R_0VTI71KbOLLFRcx,570,,Std_nTrseYPd,114,TA_l0zDB5kQ,manduca,first,Submission,F,13,,Yes,Yes,No,Yes,Yes,No,No,,"This is shown in your figure, so you don’t need this table",3. Technical and Scientific,Specific info,Directive,Within Report,Neutral,
Sp18.00609,R_0VTI71KbOLLFRcx,571,,Std_nTrseYPd,114,TA_l0zDB5kQ,manduca,first,Submission,F,13,,Yes,Yes,No,Yes,Yes,No,No,,This should be in sentence form.,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral,
Sp18.00610,R_0VTI71KbOLLFRcx,572,,Std_nTrseYPd,114,TA_l0zDB5kQ,manduca,first,Submission,F,13,,Yes,Yes,No,Yes,Yes,No,No,,"This should be in the discussion because you are making a claim based on the results. So, say this in the discussion, but also keep this in the results section just without the reasoning.",2. Writing Quality,Specific info,Directive,Within Report,FLAG,
Sp18.00611,R_0VTI71KbOLLFRcx,573,,Std_nTrseYPd,114,TA_l0zDB5kQ,manduca,first,Submission,F,13,,Yes,Yes,No,Yes,Yes,No,No,,What do you think went wrong with your experiment? Why do you think the Manduca did not do what you thought?,4. Logic and Thinking,Holistic,Reflective,Within Report,Neutral,
Sp18.00612,R_0vVPwC6HnxDcey1,574,,Std_EtXmAMaE,114,TA_kLMtS9Cu,manduca,first,Revision,C,15,,Yes,Yes,No,Yes,No,No,No,Somewhat,But your values are reported in centimeters,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral,
Sp18.00613,R_0vVPwC6HnxDcey1,575,,Std_EtXmAMaE,114,TA_kLMtS9Cu,manduca,first,Revision,C,15,,Yes,Yes,No,Yes,No,No,No,Somewhat,Can you relate this to the experiment? Try to explain why would you need more days of observations,4. Logic and Thinking,Specific info,Directive,Within Report,Neutral,
Sp18.00614,R_0vVPwC6HnxDcey1,576,,Std_EtXmAMaE,114,TA_kLMtS9Cu,manduca,first,Revision,C,15,,Yes,Yes,No,Yes,No,No,No,Somewhat,Citations are required in the discussion section. ,3. Technical and Scientific,General info,Corrective,Within Report,FLAG,
Sp18.00615,R_0vVPwC6HnxDcey1,577,,Std_EtXmAMaE,114,TA_kLMtS9Cu,manduca,first,Revision,C,15,,Yes,Yes,No,Yes,No,No,No,Somewhat,Could you be more precise and specify which is the hormone essential for growth and pupation? ,2. Writing Quality,Specific info,Directive,Within Report,Neutral,
Sp18.00616,R_0vVPwC6HnxDcey1,578,,Std_EtXmAMaE,114,TA_kLMtS9Cu,manduca,first,Revision,C,15,,Yes,Yes,No,Yes,No,No,No,Somewhat,Did you calculate statistical data or did you compare your data statistically?,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral,
Sp18.00617,R_0vVPwC6HnxDcey1,579,,Std_EtXmAMaE,114,TA_kLMtS9Cu,manduca,first,Revision,C,15,,Yes,Yes,No,Yes,No,No,No,Somewhat,Do you think a figure with pictures from control and experimental animals would be helpful to visualize this result? ,3. Technical and Scientific,Specific info,Reflective,Within Report,Neutral,
Sp18.00618,R_0vVPwC6HnxDcey1,580,,Std_EtXmAMaE,114,TA_kLMtS9Cu,manduca,first,Revision,C,15,,Yes,Yes,No,Yes,No,No,No,Somewhat,How did you measure their display of energy? That is ambiguous,3. Technical and Scientific,Specific info,Directive,Within Report,Neutral,
Sp18.00619,R_0vVPwC6HnxDcey1,581,,Std_EtXmAMaE,114,TA_kLMtS9Cu,manduca,first,Revision,C,15,,Yes,Yes,No,Yes,No,No,No,Somewhat,"In the discussion, you could mention the main result again but in this section you should include an explanation or interpretation of those results. Avoid just repeating the same information than in the results section. ",2. Writing Quality,Specific info,Directive,Within Report,Neutral,
Sp18.00620,R_0vVPwC6HnxDcey1,582,,Std_EtXmAMaE,114,TA_kLMtS9Cu,manduca,first,Revision,C,15,,Yes,Yes,No,Yes,No,No,No,Somewhat,Is this an interpretation of the results? You could do recommendations as long as they are related with the experiment or it is something that you inferred from the results.,4. Logic and Thinking,General info,Reflective,Within Report,Neutral,
Sp18.00621,R_0vVPwC6HnxDcey1,583,,Std_EtXmAMaE,114,TA_kLMtS9Cu,manduca,first,Revision,C,15,,Yes,Yes,No,Yes,No,No,No,Somewhat,Just specify the statistical test used,3. Technical and Scientific,Copy Correction,Directive,Within Report,Neutral,
Sp18.00622,R_0vVPwC6HnxDcey1,584,,Std_EtXmAMaE,114,TA_kLMtS9Cu,manduca,first,Revision,C,15,,Yes,Yes,No,Yes,No,No,No,Somewhat,Reference the figures with numbers.,3. Technical and Scientific,General info,Corrective,Within Report,Neutral,
Sp18.00623,R_0vVPwC6HnxDcey1,585,,Std_EtXmAMaE,114,TA_kLMtS9Cu,manduca,first,Revision,C,15,,Yes,Yes,No,Yes,No,No,No,Somewhat,Round the numbers,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral,
Sp18.00624,R_0vVPwC6HnxDcey1,586,,Std_EtXmAMaE,114,TA_kLMtS9Cu,manduca,first,Revision,C,15,,Yes,Yes,No,Yes,No,No,No,Somewhat,"Same problem here, in the first part of the sentence you mentioned two hormones, which of them regulates the timing of molting? Be precise",3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral,
Sp18.00625,R_0vVPwC6HnxDcey1,587,,Std_EtXmAMaE,114,TA_kLMtS9Cu,manduca,first,Revision,C,15,,Yes,Yes,No,Yes,No,No,No,Somewhat,Same problems than above (Description of results flawed),3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral,
Sp18.00626,R_0vVPwC6HnxDcey1,588,,Std_EtXmAMaE,114,TA_kLMtS9Cu,manduca,first,Revision,C,15,,Yes,Yes,No,Yes,No,No,No,Somewhat,"Statistical outcome supporting the result could be included at the end of the sentence between parenthesis. Check in the annotation exercise, the format to report the results with the statistical outcome.",3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral,
Sp18.00627,R_0vVPwC6HnxDcey1,589,,Std_EtXmAMaE,114,TA_kLMtS9Cu,manduca,first,Revision,C,15,,Yes,Yes,No,Yes,No,No,No,Somewhat,The figure legends are not self-explanatory. You should be more precise and give enough information to understand the graphs. ,3. Technical and Scientific,General info,Directive,Within Report,Neutral,
Sp18.00628,R_0vVPwC6HnxDcey1,590,,Std_EtXmAMaE,114,TA_kLMtS9Cu,manduca,first,Revision,C,15,,Yes,Yes,No,Yes,No,No,No,Somewhat,"This information is already included in the previous sentence. Mean and SD are reported together, not in separate sentences",3. Technical and Scientific,Copy Correction,Directive,Within Report,Neutral,
Sp18.00629,R_0vVPwC6HnxDcey1,591,,Std_EtXmAMaE,114,TA_kLMtS9Cu,manduca,first,Revision,C,15,,Yes,Yes,No,Yes,No,No,No,Somewhat,This is not necessary. Focus more in the biological explanations ,4. Logic and Thinking,Specific info,Corrective,Within Report,Neutral,
Sp18.00630,R_0vVPwC6HnxDcey1,592,,Std_EtXmAMaE,114,TA_kLMtS9Cu,manduca,first,Revision,C,15,,Yes,Yes,No,Yes,No,No,No,Somewhat,This is not quite right. Check in your lab manual how are the levels of JH before and after the commitment pulse.,3. Technical and Scientific,Specific info,Reflective,Within Report,Neutral,
Sp18.00631,R_0vVPwC6HnxDcey1,593,,Std_EtXmAMaE,114,TA_kLMtS9Cu,manduca,first,Revision,C,15,,Yes,Yes,No,Yes,No,No,No,Somewhat,This should be explicit in the figure legend or the graph,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral,
Sp18.00632,R_0vVPwC6HnxDcey1,594,,Std_EtXmAMaE,114,TA_kLMtS9Cu,manduca,first,Revision,C,15,,Yes,Yes,No,Yes,No,No,No,Somewhat,"What information is required in the Abstract? BioCore Guide, page 41 You are missing information from some sections of your lab report",2. Writing Quality,General info,Directive,Within Report,Neutral,
Sp18.00633,R_0vVPwC6HnxDcey1,595,,Std_EtXmAMaE,114,TA_kLMtS9Cu,manduca,first,Revision,C,15,,Yes,Yes,No,Yes,No,No,No,Somewhat,What is 1 and 2? How can I know which bar represent the treatment group and which one the control group? You can specify that information in the figure or the figure legend. ,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral,
Sp18.00634,R_0vVPwC6HnxDcey1,596,,Std_EtXmAMaE,114,TA_kLMtS9Cu,manduca,first,Revision,C,15,,Yes,Yes,No,Yes,No,No,No,Somewhat,What was the basic diet?,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral,
Sp18.00635,R_0wkA9NeQ8VoPtyJ,597,,Std_F4yWIcx0,113,TA_fMNrLFgi,allocation,first,Submission,C,15,,Yes,Yes,Yes,Yes,Yes,No,No,,3 plants? Or 3 groups of plants,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral,
Sp18.00636,R_0wkA9NeQ8VoPtyJ,598,,Std_F4yWIcx0,113,TA_fMNrLFgi,allocation,first,Submission,C,15,,Yes,Yes,Yes,Yes,Yes,No,No,,did you use averages from each pot? ,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral,
Sp18.00637,R_0wkA9NeQ8VoPtyJ,599,,Std_F4yWIcx0,113,TA_fMNrLFgi,allocation,first,Submission,C,15,,Yes,Yes,Yes,Yes,Yes,No,No,,Give some indication of the results here. Does/does not affect…,2. Writing Quality,Specific info,Directive,Within Report,Neutral,
Sp18.00638,R_0wkA9NeQ8VoPtyJ,600,,Std_F4yWIcx0,113,TA_fMNrLFgi,allocation,first,Submission,C,15,,Yes,Yes,Yes,Yes,Yes,No,No,,Need to refer to figures here ,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral,
Sp18.00639,R_0wkA9NeQ8VoPtyJ,601,,Std_F4yWIcx0,113,TA_fMNrLFgi,allocation,first,Submission,C,15,,Yes,Yes,Yes,Yes,Yes,No,No,,"No need to discuss error sources here, unless you have evidence that they actually affected your results ",4. Logic and Thinking,Specific info,Directive,Within Report,Neutral,
Sp18.00640,R_0wkA9NeQ8VoPtyJ,602,,Std_F4yWIcx0,113,TA_fMNrLFgi,allocation,first,Submission,C,15,,Yes,Yes,Yes,Yes,Yes,No,No,,"No need to show figure 2, since you don’t show any statistics for these data ",3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral,
Sp18.00641,R_0wkA9NeQ8VoPtyJ,603,,Std_F4yWIcx0,113,TA_fMNrLFgi,allocation,first,Submission,C,15,,Yes,Yes,Yes,Yes,Yes,No,No,,"Since stats weren’t significant, you can’t say there’s a difference. Even if means are slightly different",3. Technical and Scientific,Specific info,Directive,Within Report,Neutral,
Sp18.00642,R_0wkA9NeQ8VoPtyJ,604,,Std_F4yWIcx0,113,TA_fMNrLFgi,allocation,first,Submission,C,15,,Yes,Yes,Yes,Yes,Yes,No,No,,"This should come after your background information, ideally",2. Writing Quality,Specific info,Corrective,Within Report,Neutral,
Sp18.00643,R_0wYQydBqDkbyWsl,605,,Std_5SFrllJn,114,TA_rVWBLI1O,manduca,first,Submission,A,13,,Yes,Yes,Yes,Yes,Yes,No,Yes,,~400µL,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral,
Sp18.00644,R_0wYQydBqDkbyWsl,606,,Std_5SFrllJn,114,TA_rVWBLI1O,manduca,first,Submission,A,13,,Yes,Yes,Yes,Yes,Yes,No,Yes,,A separate chart for standard deviation is not needed as you have it already as a bar on your graphs.,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral,
Sp18.00645,R_0wYQydBqDkbyWsl,607,,Std_5SFrllJn,114,TA_rVWBLI1O,manduca,first,Submission,A,13,,Yes,Yes,Yes,Yes,Yes,No,Yes,,"Avoid the word “prove.” In sciences, there is always some uncertainty involved. Your data may always have come from a reason separate from your original hypothesis. As such, I would say “supported”",2. Writing Quality,Specific info,Directive,Within Report,Neutral,
Sp18.00646,R_0wYQydBqDkbyWsl,608,,Std_5SFrllJn,114,TA_rVWBLI1O,manduca,first,Submission,A,13,,Yes,Yes,Yes,Yes,Yes,No,Yes,,Do you have any ideas for future studies regarding this topic and JH? (Something this study didn’t focus on but would be the next step to study),4. Logic and Thinking,Holistic,Reflective,Within Report,Neutral,
Sp18.00647,R_0wYQydBqDkbyWsl,609,,Std_5SFrllJn,114,TA_rVWBLI1O,manduca,first,Submission,A,13,,Yes,Yes,Yes,Yes,Yes,No,Yes,,"For statistical tests, you only need to state which test was used (in the methods) and your p-value (Results/discussion)",3. Technical and Scientific,Copy Correction,Directive,Within Report,Neutral,
Sp18.00648,R_0wYQydBqDkbyWsl,610,,Std_5SFrllJn,114,TA_rVWBLI1O,manduca,first,Submission,A,13,,Yes,Yes,Yes,Yes,Yes,No,Yes,,IGR,2. Writing Quality,Copy Correction,Corrective,Within Report,Neutral,
Sp18.00649,R_0wYQydBqDkbyWsl,611,,Std_5SFrllJn,114,TA_rVWBLI1O,manduca,first,Submission,A,13,,Yes,Yes,Yes,Yes,Yes,No,Yes,,"It’s great that you’re able to form this connection and it was part of the reason we had that case study. However, because this was not a study actually done by our lab coordinator, I would try to find another source. I believe I was told it was slightly modified from an existing study to better fit our lab.",2. Writing Quality,Holistic,Directive,Within Report,Positive,
Sp18.00650,R_0wYQydBqDkbyWsl,612,,Std_5SFrllJn,114,TA_rVWBLI1O,manduca,first,Submission,A,13,,Yes,Yes,Yes,Yes,Yes,No,Yes,,The label itself isn’t as important as you can easily label them something else and get the same results. (Doesn’t affect reproducibility).,3. Technical and Scientific,General info,Explanatory,Within Report,Neutral,
Sp18.00651,R_0wYQydBqDkbyWsl,613,,Std_5SFrllJn,114,TA_rVWBLI1O,manduca,first,Submission,A,13,,Yes,Yes,Yes,Yes,Yes,No,Yes,,This is too detailed for the introduction. Saying Martin’s IGR is enough for the sake of the introduction.,2. Writing Quality,Specific info,Corrective,Within Report,Neutral,
Sp18.00652,R_0xG6iCnEYvIHljL,614,,Std_cw7hjCmF,114,TA_2R8KStqZ,manduca,first,Submission,C,7,,Yes,Yes,Yes,Yes,Yes,No,No,,[Johnson: 2018],3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral,
Sp18.00653,R_0xG6iCnEYvIHljL,615,,Std_cw7hjCmF,114,TA_2R8KStqZ,manduca,first,Submission,C,7,,Yes,Yes,Yes,Yes,Yes,No,No,,…because?,4. Logic and Thinking,No basis to judge,Reflective,Within Report,Neutral,
Sp18.00654,R_0xG6iCnEYvIHljL,616,,Std_cw7hjCmF,114,TA_2R8KStqZ,manduca,first,Submission,C,7,,Yes,Yes,Yes,Yes,Yes,No,No,,Be sure to mention what your error bars represent. Also remember that you only need error bars when averaging things together (so Figure 1 may not need them),3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral,
Sp18.00655,R_0xG6iCnEYvIHljL,617,,Std_cw7hjCmF,114,TA_2R8KStqZ,manduca,first,Submission,C,7,,Yes,Yes,Yes,Yes,Yes,No,No,,"If you have a p-value, you should mention it in your results, even though you won’t discuss what its significance actually means until the discussion. ",3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral,
Sp18.00656,R_0xG6iCnEYvIHljL,618,,Std_cw7hjCmF,114,TA_2R8KStqZ,manduca,first,Submission,C,7,,Yes,Yes,Yes,Yes,Yes,No,No,,No mention of Figure 2? Make sure you refer in the text to all figures included at the end,3. Technical and Scientific,General info,Directive,Within Report,Neutral,
Sp18.00657,R_0xG6iCnEYvIHljL,619,,Std_cw7hjCmF,114,TA_2R8KStqZ,manduca,first,Submission,C,7,,Yes,Yes,Yes,Yes,Yes,No,No,,"This table is okay but not necessary. You can just state the p-value in the results (and discussion, if you wish)",3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral,
Sp18.00658,R_0xG6iCnEYvIHljL,620,,Std_cw7hjCmF,114,TA_2R8KStqZ,manduca,first,Submission,C,7,,Yes,Yes,Yes,Yes,Yes,No,No,,"What about weighing them/feeding them every day for a week? Also, which test did you run?",3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral,
Sp18.00659,R_0xG8veSc1DLmDL7,621,,Std_24AzIkua,114,TA_kKK8bPFb,manduca,first,Submission,B,11,,Yes,Yes,Yes,Yes,Yes,No,Yes,,Apply past tenses in active or passive voice.,2. Writing Quality,General info,Corrective,Within Report,Neutral,
Sp18.00660,R_0xG8veSc1DLmDL7,622,,Std_24AzIkua,114,TA_kKK8bPFb,manduca,first,Submission,B,11,,Yes,Yes,Yes,Yes,Yes,No,Yes,,"Clearly state the study objective, then hypothesis.",2. Writing Quality,Specific info,Directive,Within Report,Neutral,
Sp18.00661,R_0xG8veSc1DLmDL7,623,,Std_24AzIkua,114,TA_kKK8bPFb,manduca,first,Submission,B,11,,Yes,Yes,Yes,Yes,Yes,No,Yes,,How did you summarize and analyze your raw data?,3. Technical and Scientific,Specific info,Directive,Within Report,Neutral,
Sp18.00662,R_0xG8veSc1DLmDL7,624,,Std_24AzIkua,114,TA_kKK8bPFb,manduca,first,Submission,B,11,,Yes,Yes,Yes,Yes,Yes,No,Yes,,"No mentioning of names, just cite their work.",3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral,
Sp18.00663,R_0xG8veSc1DLmDL7,625,,Std_24AzIkua,114,TA_kKK8bPFb,manduca,first,Submission,B,11,123,Yes,Yes,Yes,Yes,Yes,No,Yes,,"Summarize your findings and point the reader to the relevant data in the text, figures and/or tables. The text should complement the figures or tables, not repeat the same information. ",3. Technical and Scientific,General info,Directive,Within Report,FLAG,
Sp18.00664,R_0xG8veSc1DLmDL7,625,,Std_24AzIkua,114,TA_kKK8bPFb,manduca,first,Submission,B,11,124,Yes,Yes,Yes,Yes,Yes,No,Yes,,"Describe the results and data of the controls and include observations not presented in a formal figure or table, if appropriate.",3. Technical and Scientific,Specific info,Directive,Within Report,Neutral,
Sp18.00665,R_0xG8veSc1DLmDL7,626,,Std_24AzIkua,114,TA_kKK8bPFb,manduca,first,Submission,B,11,,Yes,Yes,Yes,Yes,Yes,No,Yes,,"The readers of a scientific paper read the abstract for two purposes: to decide whether they want to (acquire and) read the full paper, and to prepare themselves for the details presented in that paper. An effective abstract helps readers achieve these two purposes.",2. Writing Quality,General info,Explanatory,Within Report,Neutral,
Sp18.00666,R_0xG8veSc1DLmDL7,627,,Std_24AzIkua,114,TA_kKK8bPFb,manduca,first,Submission,B,11,,Yes,Yes,Yes,Yes,Yes,No,Yes,,What is Manduca sexta?,Scientific Name,Copy Correction,Corrective,Within Report,Neutral,
Sp18.00667,R_0xG8veSc1DLmDL7,628,,Std_24AzIkua,114,TA_kKK8bPFb,manduca,first,Submission,B,11,,Yes,Yes,Yes,Yes,Yes,No,Yes,,What was the experiment goal and hypothesis? ,4. Logic and Thinking,Copy Correction,Corrective,Within Report,Neutral,
Sp18.00668,R_0xG8veSc1DLmDL7,629,,Std_24AzIkua,114,TA_kKK8bPFb,manduca,first,Submission,B,11,,Yes,Yes,Yes,Yes,Yes,No,Yes,,Write the full word for first time use.,2. Writing Quality,Specific info,Corrective,Within Report,Neutral,
Sp18.00669,R_10CpQAFie8leObL,630,,Std_dvDlQ0vv,214,TA_0RcV6NvC,photosynthesis,first,Revision,A,30,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,percent,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral,
Sp18.00670,R_10DBcP0GPFduajP,631,,Std_ERmhon5S,114,TA_2R8KStqZ,frog,second,Revision,A,5.5,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not necessary. Figures are considered to be their own section. ,3. Technical and Scientific,General info,Explanatory,Within Report,Neutral,
Sp18.00671,R_10DBcP0GPFduajP,632,,Std_ERmhon5S,114,TA_2R8KStqZ,frog,second,Revision,A,5.5,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,See my previous comment (No obvious prior source),8. No basis to judge,No basis to judge,Neutral,Within Report,Neutral,
Sp18.00672,R_10DBcP0GPFduajP,633,,Std_ERmhon5S,114,TA_2R8KStqZ,frog,second,Revision,A,5.5,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Your figures still need units on the axes. Were these in volts? Amps? Something else?,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral,
Sp18.00673,R_10wvDFuhharsnKo,634,,Std_3efLeDKU,113,TA_bc8EVX09,allocation,first,Submission,B,10,,Yes,Yes,Yes,Yes,Yes,No,Yes,,Alpha?,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral,
Sp18.00674,R_10wvDFuhharsnKo,636,,Std_3efLeDKU,113,TA_bc8EVX09,allocation,first,Submission,B,10,,Yes,Yes,Yes,Yes,Yes,No,Yes,,How does this relate to your findings? You need to connect the dots for your reader.,4. Logic and Thinking,General info,Directive,Within Report,Neutral,
Sp18.00675,R_10wvDFuhharsnKo,638,,Std_3efLeDKU,113,TA_bc8EVX09,allocation,first,Submission,B,10,,Yes,Yes,Yes,Yes,Yes,No,Yes,,"Much better job introducing plant allocation, although you need to better introduce your specific experimental treatment in  order for your hypothesis to make sense",4. Logic and Thinking,Specific info,Directive,Beyond Report,Neutral,
Sp18.00676,R_10wvDFuhharsnKo,640,,Std_3efLeDKU,113,TA_bc8EVX09,allocation,first,Submission,B,10,,Yes,Yes,Yes,Yes,Yes,No,Yes,,Start your abstract as if it were the introduction: broad.,2. Writing Quality,Specific info,Directive,Within Report,Neutral,
Sp18.00677,R_10wvDFuhharsnKo,642,,Std_3efLeDKU,113,TA_bc8EVX09,allocation,first,Submission,B,10,,Yes,Yes,Yes,Yes,Yes,No,Yes,,"The introduction was much improved, but you need to make sure you better introduce your experimental treatment.",2. Writing Quality,General info,Directive,Beyond Report,Positive,
Sp18.00678,R_10wvDFuhharsnKo,643,,Std_3efLeDKU,113,TA_bc8EVX09,allocation,first,Revision,B,10,,Yes,Yes,Yes,Yes,Yes,No,Yes,Somewhat,"Similarly, you hardly discuss your results in the discussion, instead explaining the reasoning for your hypothesis.",3. Technical and Scientific,Specific info,Directive,Within Report,Neutral,
