comment,Subject,"Structure, Orient",Locus,Scope,Tone
I would show this as a graph with standard deviation error bars,3. Technical and Scientific,Copy Correction,,,
"If you have it, I would include the width as well (How long the pulse lasted)",3. Technical and Scientific,Copy Correction,,,
Very well done.,5. Praise or Concern,No basis to judge,,,
Are these averaged values? Then you are missing the SDStimuli amplitudeResponse before caffeine? What are you considering response here? Is the Amplitude of contraction? Missing units,3. Technical and Scientific,Specific info,,,
Can you be more specific? Specify the species and the studied muscle,2. Writing Quality,Specific info,,,
Check your axesy-axis: Amplitude of contraction (V)x-axis: Specify which is the independent variable.Specify that the amplitude of the title was the stimuli applied,3. Technical and Scientific,Specific info,,,
Do something similar to what I did for this figures captions ,3. Technical and Scientific,General info,,,
Elaborate this sentence a little bit more,8. No basis to judge,No basis to judge,,,
I don’t understand this. You should describe here the information that you are showing in the table 1,3. Technical and Scientific,Specific info,,,
Is this your prediction? Can you make it more clear,4. Logic and Thinking,General info,,,
Keep this for the results.,2. Writing Quality,Specific info,,,
Missing the journal number and pages ,3. Technical and Scientific,Copy Correction,,,
Missing the obtained results. That should be included in the Abstract,2. Writing Quality,Specific info,,,
No treatment group,3. Technical and Scientific,Copy Correction,,,
No treatment group.,3. Technical and Scientific,Copy Correction,,,
Same problems than beforeStandard deviations?,8. No basis to judge,No basis to judge,,,
Same problems than beforeStandard deviations? ,8. No basis to judge,No basis to judge,,,
These are not the results. That looks like figure captions. You should describe here the main observations from the graphs and the table. The tendencies. ,3. Technical and Scientific,Specific info,,,
"This was your prediction, then you should mention it like that. Instead I would mention the effect of caffeine in the relaxation process of the muscle and then state your prediction. ",2. Writing Quality,Specific info,,,
"Use this as an example of a figure legend. In each figure you can average the information from the 3 frog legs, not just 1",3. Technical and Scientific,General info,,,
"What were those amplitudes? You did this for both conditions, but you are describing it like if you only did it after injection",3. Technical and Scientific,Specific info,,,
You already mentioned that you did the same for each leg,2. Writing Quality,Copy Correction,,,
"You didn’t have different legs for control and experimental groups. The same leg was for both conditions, so write everything in correspondence with that.",3. Technical and Scientific,Specific info,,,
Great abstract,5. Praise or Concern,General info,,,
"Much better Justin. You still need to work on the organization of your introduction; the agricultural applications of your findings should come at the beginning of your intro, not right before your hypothesis. Also, make sure you do not display the same data in tables and figures. B",12. Narrative Comments,Specific info,,,
You should not display the same information twice,3. Technical and Scientific,General info,,,
Difference in what?,2. Writing Quality,Copy Correction,,,
Consider ending with a broader statement about why this type of research is important. ,4. Logic and Thinking,Copy Correction,,,
Good caption,5. Praise or Concern,General info,,,
Not necessary,2. Writing Quality,Copy Correction,Corrective,Within Report,Neutral
Units?,3. Technical and Scientific,Copy Correction,,,
You need a bit more explanation as to why you predict this. Saying potassium “regulates” contraction is not enough to explain this specific prediction. ,4. Logic and Thinking,Specific info,,,
You need a sentence about why you chose Rana pipiens as a model organism,3. Technical and Scientific,Specific info,,,
"Correct format: Correct format for reporting: t-stat=_, d.f.=_, P=_ Refer to Bio Resource Guide for more details.",3. Technical and Scientific,Copy Correction,,,
hemocytometer is actually the essential part.,3. Technical and Scientific,Specific info,,,
infromal,2. Writing Quality,General info,,Within Report,Neutral
Should mention that your used %change formula to convert your raw absorbance data,3. Technical and Scientific,Copy Correction,,,
"Still a recipe-style writing. You could open your section by saying that “The slurry/ground mixture of chickweed was centrifuged using (name of the machine we used to centrifuge) at XG, Xrmp, at Xdegrees for Xmins to extract/isolate the chloroplasts. Any debris was removed and the solution was centrifuged again (mention specifications). The pellet was isolated and treated with Hill reaction assay (Table# provided in the supplement) to quantify photosynthesis activity. The absorbances were recorded…”",3. Technical and Scientific,Copy Correction,,,
Use common name after introducing your test species in the intro [didn’t follow up],Scientific Name,Copy Correction,,,
"You don’t need to list, your reagent table should already account for this",3. Technical and Scientific,Copy Correction,,,
Additionally you must report the measured values with the statistical value.,3. Technical and Scientific,Copy Correction,Corrective,Within Report,
Change this figure caption based on my comments for the first figure caption.,3. Technical and Scientific,Specific info,,,
Did you record six or three myograms in each condition? ,3. Technical and Scientific,Copy Correction,,,
Is this your hypothesis? Make it clear,4. Logic and Thinking,General info,,,
Missing statistical analysis,3. Technical and Scientific,General info,Corrective,Within Report,Neutral
Missing y-axis. Is this the amplitude of the threshold or the amplitude of the contraction that was generated at the threshold?Specify the y-axis depending on that,3. Technical and Scientific,Specific info,,,
There was not experimental group. Write the methods in correspondence with that. ,3. Technical and Scientific,General info,,,
There were not control and experimental groups. The same muscle was analyzed n both conditions. ,3. Technical and Scientific,Copy Correction,,,
They were neither control nor experimental group. ,3. Technical and Scientific,General info,,,
"This citation only is not enough. You need another citation, not only the lab manual.",3. Technical and Scientific,General info,,,
This is the actual result. It should go before you conclude supporting the hypothesis or not.,2. Writing Quality,Specific info,,,
Work in this sentence. Make it nicer,2. Writing Quality,Specific info,,,
y-axis.Can you be more specific? Something like this could be the y-axis.Threshold of contraction (V),3. Technical and Scientific,Specific info,,,
You should mention this after you describe the observed result,3. Technical and Scientific,Specific info,,,
Incorrect labeling. Should be fig. 3,3. Technical and Scientific,Copy Correction,,,
Indicate control or treatment,3. Technical and Scientific,Copy Correction,,,
Needs citation as indicated in Submission,3. Technical and Scientific,Specific info,,,
specimen,3. Technical and Scientific,Copy Correction,,,
This info could actually go in supplement ,2. Writing Quality,Idiomatic,,,FLAG
"This should go in supplement information. You should have rather mentioned your test compound treatment, i.e. treatment plates soaked in diluted test compound solution for ten minutes and drained. ",2. Writing Quality,Specific info,,,
how?,8. No basis to judge,No basis to judge,,,
informal,2. Writing Quality,General info,,Within Report,Neutral
informal,2. Writing Quality,General info,,Within Report,Neutral
informal,2. Writing Quality,General info,,Within Report,Neutral
informal,2. Writing Quality,General info,,Within Report,Neutral
It was your test species to focus on photosynthesis rather than your study organism.,3. Technical and Scientific,Copy Correction,,,
"Missing details of xG, temperature, and time.",3. Technical and Scientific,Specific info,,,
should have included %change formula and indicate that it was used to convert your raw data,3. Technical and Scientific,Copy Correction,,,
That’s your reagent table,3. Technical and Scientific,No basis to judge,,,
Unnecessary detail because they are the ingrdients of Hill reaction assay,3. Technical and Scientific,Copy Correction,,,
What do you mean by regular?,8. No basis to judge,No basis to judge,,,
"If the number of pulses wasn’t 1, you would also need to include frequency.",3. Technical and Scientific,Copy Correction,,,
Why? What does Lidocaine do and what role the thing lidocaine act on normally do?,4. Logic and Thinking,Holistic,,,
"Avoid this. Since the stat’s weren’t significant, you can’t say that xxx was higher than yyy",3. Technical and Scientific,Copy Correction,,,
"In the future, focus on just discussing biological mechanisms and comparing to the literature, instead of speculating on sources of error ",4. Logic and Thinking,General info,,,
Make sure to refer to the figures here ,3. Technical and Scientific,Copy Correction,,,
Analyzing data for each leg independently leads to pseudo-replication. Compare control vs treatment groups and not legs.,3. Technical and Scientific,Specific info,,,
How?,8. No basis to judge,No basis to judge,,,
Merge by average of leg 1 and leg 2 then re-do the t-test and graph.,3. Technical and Scientific,Specific info,,,
Methods not required in your introduction for experimental studies,2. Writing Quality,General info,,,
No interpretation. Just trends,1. Basic Criteria,General info,Directive,Within Report,Neutral
References format is inconsistent. Use MLA or APA throughout.,3. Technical and Scientific,General info,,,
All your numbers should have units,3. Technical and Scientific,General info,,,
For which data? The threshold or the contraction amplitude,3. Technical and Scientific,Specific info,,,
"Hi Evelyn, So I can see that you did move stuff around, but I do still think the results could be a bit better stated. It is a bit more organized now though, which is a good improvement. Because there’s still some things to fix I’m going to give you a B for this revision ",12. Narrative Comments,General info,,,
I don’t think you actually reference this figure anywhere?,3. Technical and Scientific,Copy Correction,,,
Northern Leopard Frog,Scientific Name,Copy Correction,,,
should this be figure 3?,3. Technical and Scientific,Copy Correction,,,
units,3. Technical and Scientific,Copy Correction,,,
you should state this before your statistics,3. Technical and Scientific,Specific info,,,
"Again, write this as if I have no idea about any of this.",2. Writing Quality,Holistic,,,
Did you proofread this?,2. Writing Quality,General info,,,
"For the next lab report, make sure your error bars are fitted to each data point; I can help with that!",3. Technical and Scientific,Copy Correction,,,
I asked for means and SDs here too.,3. Technical and Scientific,Copy Correction,,,
Much better connections!,5. Praise or Concern,Specific info,,,
Tails?,3. Technical and Scientific,Copy Correction,,,
This is awkward.,2. Writing Quality,Copy Correction,,,
"Why does your figure show average percent change in absorbance then? Keep things consistent—if you plan to compare the mean absorbances, your figure should do so as well.",3. Technical and Scientific,Specific info,,,
"Good job adding more info to the discussion section, and adding citations, but it should be more concise. For example, avoid your list of questions ",2. Writing Quality,Specific info,,,
I’m not exactly sure what these tables are showing ,3. Technical and Scientific,Specific info,,,
"Increasing sample size or collecting more data is good for ALL experiments. Instead, focus on discussing biological mechanisms rather than sources of error. ",4. Logic and Thinking,General info,,,
Still need to have hypothesis in the abstract ,2. Writing Quality,General info,,,
10,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
2% water agar,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
"avoid reporting stat values in abstract, you can mention that your results were statistically significant",2. Writing Quality,Specific info,,,
back-to-back sentences starting with therefore ,2. Writing Quality,Copy Correction,,,
capitalize P,2. Writing Quality,Copy Correction,,,
correct the figure number in the image to clear confusion,3. Technical and Scientific,Copy Correction,,,
dH20,3. Technical and Scientific,Copy Correction,,,
don’t abbreviate,2. Writing Quality,Copy Correction,,,
don’t mention about your control result in the abstract if don’t suggest ways to improve or identify reasons,2. Writing Quality,Holistic,,,
informal,2. Writing Quality,General info,,Within Report,Neutral
informal,2. Writing Quality,General info,,Within Report,Neutral
informal,2. Writing Quality,General info,,Within Report,Neutral
informal,2. Writing Quality,General info,,Within Report,Neutral
mention that Physarum stock was already prepared/grown prior to experiment,3. Technical and Scientific,Specific info,,,
mention the critical value you considered to be significant,3. Technical and Scientific,Copy Correction,,,
mm,3. Technical and Scientific,Copy Correction,,,
needs citation,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
recommended 18-24 hours range,3. Technical and Scientific,Copy Correction,,,
report stat values,3. Technical and Scientific,Copy Correction,,,
revise,2. Writing Quality,General info,,,
revise,2. Writing Quality,General info,,,
revise,2. Writing Quality,General info,,,
revise,2. Writing Quality,General info,,,
"revise for improvement, good start for a draft",5. Praise or Concern,General info,,,
revise or break-up in smaller sentences,2. Writing Quality,General info,,,
"You could actually include dilution calc info, 1x1cm square info, how 2% water agar medium was prepared—all these in your reagent table.",3. Technical and Scientific,Specific info,,,
"Am I correct in saying the first p-value is for the amplitude of the muscle at the threshold, and then the second p-value is for the actual threshold values? When stating your p-values, you should also state the t-statistic and degrees of freedom",3. Technical and Scientific,Specific info,,,
Does this source describe this process? Did it test this process in something else?,4. Logic and Thinking,Specific info,,,
"Hi Matt, So you hit all the basic criteria, but this report needs a bit of tweaking and beefing up. For the revision, make sure you actually explain what your primary sources are about, because currently your citations are put in places where they don’t make much sense. - C",12. Narrative Comments,Specific info,,,
"I would have these bars labelled as control and treatment. Also, your error bars look the same for both bars, making me think they are not correct.  ",3. Technical and Scientific,Copy Correction,,,
"If your results are not significant, is this really true?",4. Logic and Thinking,Specific info,,,
"Include an introductory sentence or two , and mention the specific species, muscle, and chemical you are working with ",2. Writing Quality,Specific info,,,
Is this the contraction amplitude?,3. Technical and Scientific,Specific info,,,
"Mention your sample size, what error bars represent, statistical results, etc. ",3. Technical and Scientific,Copy Correction,,,
"Same here, actually discuss your primary literature",4. Logic and Thinking,General info,,,
"So then your hypothesis is rejected, due to your experimental and statistical results",3. Technical and Scientific,Specific info,,,
This is not a very scientific way of phrasing this,2. Writing Quality,Copy Correction,,,
What does the citation at the end of this sentence reference? Specifically discuss what the paper is talking about ,3. Technical and Scientific,Specific info,,,
What statistical test did you use?,3. Technical and Scientific,Specific info,,,
Your averages should also include standard deviations,3. Technical and Scientific,Copy Correction,,,
Your hypothesis should come last in your intro,2. Writing Quality,General info,,,
"Your introduction needs more background info on the species you are using, and info on your chemical. ",2. Writing Quality,Specific info,,,
"Because the same leg served as the control and experimental, I would recommend using a paired t-test instead.",3. Technical and Scientific,Specific info,,,
I would include the number of pulses and the width for each of these voltages,3. Technical and Scientific,Copy Correction,,,
"I would try to shorten this method section (For the abstract, you can simply say the amplitude of the response was recorded with and without lidocaine). Instead, I would try to include a sentence or 2 about What lidocaine does and what sodium normally does (just vaguely).",2. Writing Quality,Specific info,,,
This seemed strange so I took a look at your article. Lidocaine could ultimately affect calcium release (due to the role sodium plays in muscle contraction) but it shouldn’t have any effect on creation of calcium ions.,4. Logic and Thinking,Specific info,,,
This shouldn’t be an issue. The frogs are euthanized around 5 minutes after our lab begins.,3. Technical and Scientific,Specific info,,,
You don’t need to include anything specific to the program used. Simply saying that it was recorded (You already included the important details above the stimulus above) is enough.,3. Technical and Scientific,Copy Correction,,,
"As I said in my comments on your previous submission (and in class, and in the resource guide), DO NOT talk about the hypothesis in the Results. It will cause the report to fail (and this is otherwise a very good report). If you are confused, please come set up a time to meet with me and go over this. ",1. Basic Criteria,Specific info,,,
"Explain what the error bars represent in your figure caption/legend, not here. ",3. Technical and Scientific,Specific info,,,
Juvenile hormone?,8. No basis to judge,No basis to judge,,,
See p. 42 in the Resource Guide for correct citation formatting,3. Technical and Scientific,General info,,,
What statistical test(s) did you run on the data?,3. Technical and Scientific,Specific info,,,
You can leave this out,2. Writing Quality,Copy Correction,,,
You could put this in the results.,2. Writing Quality,Specific info,,,
Good!,5. Praise or Concern,No basis to judge,,,
"Grade: 4Ill let the Rana pipiens slide, but remember for the future that Genus is Capitalized and species is lowercase.Good job with the other corrections!",Scientific Name,Copy Correction,,,
This should be a lowercase p,3. Technical and Scientific,Copy Correction,,,
"Try this next time: “The R:S mass ratio of plants watered with saline solution was not significantly different than for the control plants (t=, df=, p=)",3. Technical and Scientific,Copy Correction,,,
What does this fragment belong to?,2. Writing Quality,No basis to judge,,,
Good job with these references ,5. Praise or Concern,Specific info,,,
"Increasing sample size is always good, for all experiments. Focus on your other ideas for future directions, like other plants or other colors of light ",4. Logic and Thinking,General info,,,
"It would be better to show the results, even when they’re not significant  ",3. Technical and Scientific,Specific info,,,
"No need to show the same data in a table and in a figure. An easier way to do this would be to just have a separate graph for each dependent variable, and 2 columns per graph. ",3. Technical and Scientific,Specific info,,,
Can bettas mate with guppies? ,4. Logic and Thinking,Holistic,,,
Did you really compare bettas alone to bettas with guppies? Is that a fair comparison?,3. Technical and Scientific,Holistic,,,
Do not put the same data in a figure and a table,3. Technical and Scientific,General info,,,
"Just say no significant difference between treatments (t = , df = , p =)",3. Technical and Scientific,Copy Correction,,,
Report the means and standard deviations of the behavior (mean +/- sd),3. Technical and Scientific,Copy Correction,,,
This is synonymous with “aggressive”,2. Writing Quality,Copy Correction,,,
This lab report need a lot of work. Come see me if you need help and make sure you are referring to the resource guide.F,12. Narrative Comments,General info,,,
"True, but you never actually explain what you learned about betta behavior",4. Logic and Thinking,Specific info,,,
You need to start more broadly. What are the underlying concepts?,2. Writing Quality,Specific info,,,
You need to start more broadly. What is aggression? What are its costs and benefits? Why use betta fish? Be very specific.,2. Writing Quality,Specific info,,,
"You need to use citations to support your claims. Otherwise, this is just hand waving. Research sensory stimuli for betta aggression.",3. Technical and Scientific,General info,,,
You need to use primary literature in the intro and discussion (one of the basic criteria). This is an automatic failing grade.,1. Basic Criteria,General info,,,
"Good discussion, improve on the flow.  ",5. Praise or Concern,Specific info,,,
"Grade: 2  TFGood job, just needs some tweaking.",12. Narrative Comments,General info,,,
Reference your graph using “Figure #”,3. Technical and Scientific,Copy Correction,,,
The first few sentences are a little unclear.,2. Writing Quality,General info,,,
These figures need captions.,3. Technical and Scientific,General info,,,
"These figures need work.  Making all of the treatment red and all of the control blue would be a good way to fix this, but more would still nee to be done. ",3. Technical and Scientific,Specific info,,,
"This should be written in paragraph form, and would fit well when you talk about the respective results",3. Technical and Scientific,Specific info,,,
Two sample t-test,3. Technical and Scientific,Copy Correction,,,
Surname of the 1st Author only.,3. Technical and Scientific,Copy Correction,,,
"All the other background info here is true, but you need to have some more background info about salt specifically. How might it change resource allocation?",4. Logic and Thinking,Holistic,,,
Give some indication of the results here. Does/does not affect ,2. Writing Quality,Specific info,Directive,Within Report,Neutral
"Need to have axis labels and units, no title, and more information in the figure description ",3. Technical and Scientific,Specific info,,,
"The critical mistake here is the lack of peer-reviewed primary resources. Citing the lab manual is ok, but you have to have other references too. See me if you have questions about this ",1. Basic Criteria,General info,Explanatory,Within Report,Neutral
Can you cite your source? This should apply to all established facts that are not your original work.,3. Technical and Scientific,General info,,,
It is better to discuss the results in relation to your hypothesis before the errors or mistakes encountered.,2. Writing Quality,Specific info,,,
Make a new graph comparing control vs treatment means. Make sure your results reflect change in weight and not the final weight. This is necessary because your caterpillars started with different masses.,3. Technical and Scientific,Specific info,,,
"Needed is the effect of IGR on control vs treatment group, not on individual caterpillar.",3. Technical and Scientific,Specific info,,,
State the results first and then conclusion.,3. Technical and Scientific,Copy Correction,,,
State the study objective first and explain why is M.sexta a good model organism for your experiment? ,3. Technical and Scientific,Specific info,,,
What is Manduca sexta?,Scientific Name,Copy Correction,,,
Which year was this study published?,3. Technical and Scientific,Copy Correction,,,
"Hi Zac, So I see you fixed some of the comments I mentioned on the initial submission, but unfortunately because you still don’t have any primary literature in your introduction I have to give you an F. ",12. Narrative Comments,General info,,,
Good job. Great report!,5. Praise or Concern,General info,,,
"any time you have an average graphed, you will need standard deviation bars (The standard deviation error bar option on excel doesn’t work properly, take a look at the resource guide or email me to learn how to add it properly)",3. Technical and Scientific,Specific info,,,
"As we are less interested in the exact values as the change/difference in these changes for the groups, a graph already displays the same data. As such, I would opt for only having the graph.",3. Technical and Scientific,Specific info,,,
"As you’re more interested in the total difference in mass rather than the change for each day, you could use a bar graph showing the difference between final/initial mass",3. Technical and Scientific,Specific info,,,
I would try for the difference in mass between the final and initial day as this then takes into consideration that some caterpillars may have initially been bigger.,3. Technical and Scientific,Specific info,,,
Missing outside sources (Basic criteria),1. Basic Criteria,General info,Corrective,Within Report,Neutral
Water,8. No basis to judge,No basis to judge,,,
"“like” is an informal term, consider “such as” instead. Use your best judgement to locate informal/colloquial terms in the rest of the report and revise.",2. Writing Quality,Holistic,,,
"Again, informal",2. Writing Quality,General info,,,
And thus,2. Writing Quality,Copy Correction,,,
Another potential reason could be error in isolating the chloroplasts from the leaves. Recall that you didn’t actually record the relative density of chloroplast this time. Going through that step to ensure your sample actually had a high density of chloroplast would be an effective way to ensuring that you had chloroplast in your treatment to begin with.,3. Technical and Scientific,Specific info,,,
Avoid this recipe style of writing methods section because that’s not how it is used in a scientific literature. Check primary literature on similar experiments to see how they wrote their methods section and revise.,2. Writing Quality,General info,,,
"I suggest to remove this segment. “Photosynthesis is a very complex system with many..” can be an appropriate opening statement. Scientific journals are written for peers having similar knowledge background. So, the background knowledge on photosynthesis is not needed. ",2. Writing Quality,Specific info,,,
"I would suggest to include your t-stat, degrees of freedom, p-value in parenthesis after indicating the treatment. Since ANOVA p values didn’t indicate any statistically significant results, I would either remove it or just state it in a single line. You mention that your control (chloroplast with no detergent) had highest photosynthesis. Include all the stat result in parenthesis. Of all the statistically insignificant results, pick few treatments that caught your attention or the ones that you stressed in discussion and include it here with the stat in parenthesis. Also, refer to any figure.",3. Technical and Scientific,Specific info,,,
Informal. Consider revising.,2. Writing Quality,General info,,,
Over a 30 minute period would be a better way to put it.,2. Writing Quality,Copy Correction,,,
Revise,2. Writing Quality,General info,,,
Revise for better clarity,2. Writing Quality,General info,,,
Statistically insignificant. Careful with your wording. Revise you report with clear and precise statements with formal terms.,3. Technical and Scientific,General info,,,
This goes in methods section. Basic Criteria #2 error,1. Basic Criteria,Specific info,Directive,Within Report,
"This is the point where you introduce your plant species. In addition to their scientific names, include their common names as well. Then use their common names throughout the rest of the lab report including your title and abstract.",Scientific Name,Copy Correction,,,
You can actually combine these sentences and present it in a better way.,2. Writing Quality,Copy Correction,,,
You should not introduce any new statistical test in the results section. Mention that you ran ANOVA at the end of the Methods section. ,3. Technical and Scientific,Specific info,,,
Another potential reason could be error in isolating the chloroplasts from the leaves. Recall that you didn’t actually record the relative density of chloroplast this time. Going through that step to ensure your sample actually had a high density of chloroplast would be an effective way to ensuring that you had chloroplast in your treatment to begin with.,3. Technical and Scientific,Specific info,,,
Avoid this recipe style of writing methods section because that’s not how it is used in a scientific literature. Check primary literature on similar experiments to see how they wrote their methods section and revise.,2. Writing Quality,General info,,,
Revise,2. Writing Quality,General info,,,
Check the citation format ,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
Good job with these citations and biological mechanisms ,5. Praise or Concern,Specific info,,,
It’s unclear which color corresponds to which treatment. Need much more description in the figure captions ,3. Technical and Scientific,Specific info,,,
“centrifugation” ,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
“rest of the 9…”Or alternatively just say “Nine tubes were…”,2. Writing Quality,Copy Correction,Corrective,Within Report,Neutral
Colloquial language,2. Writing Quality,General info,,,
Delete gridlinesMake the axes labels a little bigger so it’ll be easier to see,3. Technical and Scientific,Copy Correction,,,
How is this possible when the one-way ANOVA test showed insignificance? Insignificance from an ANOVA test implies insignificance between all groups,3. Technical and Scientific,Specific info,,,
"Some comments I only marked once. For example, when I said to use the actual word “percentage” instead of the symbol “%,” be sure to apply it to the whole report.",3. Technical and Scientific,General info,,,
This is confusing. So there was no significant difference between the three groups but there was?,4. Logic and Thinking,Specific info,,,
Try to avoid colloquial language,2. Writing Quality,General info,,,
Use standard error instead of standard deviation. Standard error is standard deviation divided by the square root of sample size,3. Technical and Scientific,Specific info,,,
Use the actual word,2. Writing Quality,Copy Correction,,,
"We resuspended the pellet, not the supernatant",3. Technical and Scientific,Copy Correction,,,
Which components?,8. No basis to judge,No basis to judge,,,
"You can state this as a general trend, but you can’t say this for sure since your results were insignificant",3. Technical and Scientific,Specific info,,,
“Herbicide treatment” or when treated with herbicide. Go through results and discussion sections to make necessary editing in order to convey the message in a much clearer way.,2. Writing Quality,Specific info,,,
Another potential reason could be error in isolating the chloroplasts from the leaves. Recall that you didn’t actually record the relative density of chloroplast this time. Going through that step to ensure your sample actually had a high density of chloroplast would be an effective way to ensuring that you had chloroplast in your treatment to begin with. ,3. Technical and Scientific,Specific info,,,
Avoid stating any stat value in the abstract. You can rather say that the significant statistical difference was confirmed by one-way ANOVA test.,2. Writing Quality,Specific info,,,
Avoid this recipe style of writing methods section because that’s not how it is used in a scientific literature. Check primary literature on similar experiments to see how they wrote their methods section and revise.,2. Writing Quality,General info,,,
Can you make your hypothesis more straight-forward and clearer?,4. Logic and Thinking,General info,,,
Check comments at top.,8. No basis to judge,No basis to judge,,,
Citation? Does it refer to Oregon state 2018 or a new one?,3. Technical and Scientific,Specific info,Explanatory,Within Report,FLAG
Control would be a better word choice,3. Technical and Scientific,Copy Correction,,,
Ending statement with prepositions considered as informal. Use your best judgement to locate any other informal/colloquial terms/texts/formats used in elsewhere in the report and revise accordingly.,2. Writing Quality,Holistic,,,
Hill reaction assay,3. Technical and Scientific,Copy Correction,,,
Include data in parenthesis.,3. Technical and Scientific,Copy Correction,,,
Include the tukey sig difference in parenthesis at the end of previous statement and get rid of this statement.,3. Technical and Scientific,Copy Correction,,,
Only keep the first sentence and move it to methods section. Basic Criteria #2 error,8. No basis to judge,No basis to judge,,,
"Refer to authors in in-text, mention last name and year in parenthesis. Check your citation rules.",3. Technical and Scientific,Copy Correction,,,
Refer to relevant table in parenthesis.,3. Technical and Scientific,Copy Correction,,,
Revise this statement to make it clearer.,2. Writing Quality,General info,,,
See comments on top,8. No basis to judge,No basis to judge,,,
"This is where you introduce your plant species. So, include both scientific and common names. Then use the common name throughout the report including title and abstract. ",Scientific Name,Copy Correction,,,
What is regular treatment?,3. Technical and Scientific,Specific info,,,
"I think you meant a two-sample t-test. However, I would recommend a paired t-test for this as the same legs served as the control and the experimental.",3. Technical and Scientific,Specific info,,,
I would exclude this as it can be considered raw data (Leaving in the portion in your results section about each leg decreasing in amplitude after injection is fine).,3. Technical and Scientific,Copy Correction,,,
I would include the actual p-value,3. Technical and Scientific,Copy Correction,,,
I would just try to fit in a sentence talking about the role of calcium in muscle contraction,2. Writing Quality,Specific info,,,
I would try to include the width (How long the stimulus was applied),3. Technical and Scientific,Copy Correction,,,
Make sure to cite this.,3. Technical and Scientific,Copy Correction,,,
Make sure to include the blocker concentration as well,3. Technical and Scientific,Copy Correction,,,
"Within the introduction, cite all pertinent literature using the [Last name of first author: year] citation format.",3. Technical and Scientific,General info,,,
How did you summarize your data?•What statistical tests were used? What groups were compared?,3. Technical and Scientific,Specific info,,,
Not part of the introduction. ,2. Writing Quality,Specific info,,,
"Use proper format for literature cited which include all necessary details. Choose APA, MLA, Ecology etc.",3. Technical and Scientific,General info,,,
What biological question is being asked?,4. Logic and Thinking,General info,,,
What do you mean here?,3. Technical and Scientific,No basis to judge,,,
What figure are you talking about here.?You cannot cite a figure that is not in your report.,3. Technical and Scientific,Copy Correction,,,
"When reporting the results of a two-sample t-test, you need to include the resulting t-statistic, the degrees of freedom (df), and the corresponding P-value. Your statement might look like this, “The mean of the control group was not statistically significantly different than that of the experimental group (t-stat = 0.57, df = 26, P = 0.574).”",3. Technical and Scientific,Copy Correction,,,
Colder water has a higher solubility for oxygen than warmer water,3. Technical and Scientific,Copy Correction,,,
"Fish are ectothermic, so they do not regulate their body temperature. Hence, they do not exert energy towards maintaining homeostasis. Explain your data in terms of the metabolic inefficiencies of bettas in colder water.",4. Logic and Thinking,Specific info,,,
"If aggression is more energetically costly, why would it increase?",4. Logic and Thinking,Holistic,,,
"Intraspecific, not infra",3. Technical and Scientific,Copy Correction,,,
Is this true? You need a citation,3. Technical and Scientific,Specific info,,,
Only use primary literature or official reports,3. Technical and Scientific,General info,,,
Start more broadly,2. Writing Quality,General info,,,
These are raw data,3. Technical and Scientific,General info,,,
This lab report needs a complete overhaul. You need to elaborate on the costs and benefits of behavior in your introduction. There is extraneous information throughout the introduction and methods. Your results section needs to be completely changed. Your interpretation of homeostasis is flawed. Please see me so we can go over this lab report.C,12. Narrative Comments,Specific info,,,
Unnecessary,2. Writing Quality,Copy Correction,,,
Unnecessary,2. Writing Quality,Copy Correction,,,
Water temperature is not the same as air temperature. You can also express the same information in one sentence,3. Technical and Scientific,Specific info,,,
Why did you use a mirror? How did you compare mirrored aggression to aggression towards another individual,3. Technical and Scientific,Specific info,,,
Write your lab report as if you were trying to publish a study. Remember to start broadly.,2. Writing Quality,General info,,,
You need captions. You also need error bars,3. Technical and Scientific,Specific info,,,
You need methods in your abstract,2. Writing Quality,Specific info,,,
You need to better connect your experimental treatment to the costs and benefits of intraspecific aggression,4. Logic and Thinking,General info,,,
You need to report specific means and sds. Where are the statistical values?,3. Technical and Scientific,Specific info,,,
2% water agar,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
2% water agar details: 2 ml water+18 ml agar,11. FLAG,Copy Correction,,,FLAG
Could you change the yellow color text? It is difficult to read.,3. Technical and Scientific,Copy Correction,,,
I would suggest to remove this line because it better suits for discussion section,2. Writing Quality,Copy Correction,,,
It might worth mentioning pre and post incubation stat results both for control and treatment ,3. Technical and Scientific,Specific info,,,
Rephrase to make it clear how you determined the significance.,3. Technical and Scientific,Specific info,,,
revise,2. Writing Quality,General info,,,
you didn’t mention anything about your inhibitor neomycin. You need to provide this info justified by primary lit,4. Logic and Thinking,Specific info,,,
You placed oak flakes at equidistant which should have been noted here.,3. Technical and Scientific,Copy Correction,,,
You treated 20x test compound solution with 4-5ml in each plate. Provide info about how you converted 1x to 20x solution. Also provide details about how you treated the test compound in plates.,3. Technical and Scientific,Specific info,,,
Great abstract,5. Praise or Concern,General info,,,
Great introduction,5. Praise or Concern,General info,,,
"Solid lab report. I would like you to elaborate a bit more in your discussion section, but otherwise very solid.A",12. Narrative Comments,General info,,,
