comment,Subject,"Structure, Orient",Locus,Scope,Tone
"Because the day isn’t as important for your experiment (There’s no reason why we’d expect the caterpillars to behave differently in terms of feeding for a certain day), I would recommend having a graph with the average food eaten across all days rather than  having it broken up into 7 days.",3. Technical and Scientific,Specific info,Directive,Within Report,FLAG
"In addition, any time you have an average graphed, you will need standard deviation bars (The standard deviation error bar option on excel doesn’t work properly, take a look at the resource guide or email me to learn how to add it properly)",3. Technical and Scientific,Copy Correction,Explanatory,Within Report,Neutral
Incubator (at 27C),3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
Roughly 50 microliter (µL),3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
This is not needed as most people reading this will be able to assume the caterpillars were differentiable somehow.,3. Technical and Scientific,Copy Correction,Explanatory,Within Report,FLAG
Try looking for the active ingredient in Precor. It uses a JH analogue rather than JH itself.,3. Technical and Scientific,General info,Directive,Within Report,Neutral
Try looking in the resource guide under the citations section for how to cite the lab manual.,3. Technical and Scientific,General info,Explanatory,Within Report,Neutral
"You could also rephrase this as “In (scientific name of flies), it was shown that…”",2. Writing Quality,Specific info,Corrective,Within Report,Neutral
You only need to say what statistical test was used. ,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
Chart is not needed,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
Chart not needed,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
I would exclude this isn’t an actual citation and the readers do not have access to this specific case study.,2. Writing Quality,Specific info,Corrective,Within Report,Neutral
I would leave this as “Martin’s IGR” as you explain the dilution later on in the methods,3. Technical and Scientific,Copy Correction,Explanatory,Within Report,Neutral
There’s always some uncertainties in science and words such as “prove” and “correct” should be avoided.,2. Writing Quality,Copy Correction,Corrective,Within Report,Neutral
And this,2. Writing Quality,Copy Correction,Corrective,Within Report,Neutral
Grade: 3 TFGreat job!  Just needs a little fixing.,12. Narrative Comments,General info,Directive,Within Report,Positive
Great abstract,5. Praise or Concern,General info,Explanatory,Within Report,Positive
Great figures,5. Praise or Concern,General info,Explanatory,Within Report,Positive
"Great intro, but is a little long.  Try to look it over and see what the most important things are and don’t worry about the rest so much.",2. Writing Quality,General info,Directive,Within Report,Positive
Maybe try a different data analysis. Calculate the change in length from day 1 -8 and run a t-test on those values,3. Technical and Scientific,Specific info,Directive,Within Report,FLAG
Save the for the discussion,2. Writing Quality,Specific info,Directive,Within Report,Neutral
"Some of this stuff would fit better in the results, then you can reference it in your discussion when you want to use it as evidence for your argument.",2. Writing Quality,Specific info,Directive,Within Report,Neutral
This is almost significant. Maybe using weight change would be more effective,3. Technical and Scientific,Specific info,Directive,Within Report,Neutral
This section is a little long. Try to shorten this if you can by stating some of the observations in the results and referencing them in the discussion.,2. Writing Quality,Specific info,Directive,Within Report,Neutral
What statistics test did you run? And on what data?,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
"You are right to think this data my be invalid, but you should leave those sentences for the discussion, however you are right to include the findings in your results.",2. Writing Quality,Specific info,Directive,Within Report,Neutral
"You should have a short paragraph that sums up your results.  Include things like the average change in weight or length, your statistics results, and anything else you might bring up in your discussion as evidence.",2. Writing Quality,Specific info,Directive,Within Report,Neutral
Caterpillar,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
List the p-value again,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
"Rework how these are written, average 1.155 +/- 0.92. And make it consistent, average than standard dev",3. Technical and Scientific,Specific info,Directive,Within Report,Neutral
"What is this, another caterpillar/moth or holometabolous insect, get a little more specific in the future",4. Logic and Thinking,Specific info,Directive,Beyond Report,Neutral
You can add the p-value here to help support your statement,3. Technical and Scientific,Copy Correction,Explanatory,Within Report,Neutral
You can condense this into one sentence in the future just summarizing it. ,2. Writing Quality,General info,Directive,Within Report,Neutral
"Your hypothesis should be the last sentence of the intro, either move this into methods or put it before the hypothesis",2. Writing Quality,Specific info,Corrective,Within Report,Neutral
Cite,3. Technical and Scientific,Copy Correction,Corrective,Within Report,FLAG
Discuss the results based on what you did and the results obtained. The error part can be discussed at the end as areas of improvement if you have to do the experiment again.,4. Logic and Thinking,Copy Correction,Directive,Within Report,Neutral
I would put the hypothesis in biological context here rather than stats. What is the reasoning behind your hypothesis? This usually comes from previous studies.,4. Logic and Thinking,Specific info,Reflective,Within Report,Neutral
Take to discussion,2. Writing Quality,Specific info,Corrective,Within Report,Neutral
Use the means (average) for each group to graph your data. You were looking for the effect of IGR between 2 groups and not between replicates. As you can see in Fig. 1; the groups next to each other are not experimentally paired.,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
You had 2. Control vs Experimental.,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
"Your reader would like to know what is Manduca sexta and why is it a good model organism for your experiment, before the objective. Minor error",3. Technical and Scientific,Specific info,Directive,Within Report,Neutral
Remember to include the title of the graph immediately after the figure number. Then you can continue with the rest of the caption. ,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
"This belongs in the methods, not the intro. Just begin your intro with the next sentence. ",2. Writing Quality,Specific info,Corrective,Within Report,Neutral
"This belongs in your figure caption/legend, not here. ",3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
"This introduction needs citations! Without them, this lab report will fail. Since your reports are otherwise very good, please see me if you’re confused about the citation requirement because I don’t want to repeatedly give you a bad grade on an otherwise decent report for this one thing. ",1. Basic Criteria,General info,Directive,Within Report,Negative-reasonable
You could include a sentence (or less) about why you predicted this. ,4. Logic and Thinking,Copy Correction,Corrective,Within Report,Neutral
"You should refer people to your figures in this section. Remember that in the report, they are not together. ",3. Technical and Scientific,General info,Directive,Within Report,Neutral
Check the citation format ,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
Need some more info here about how clay might affect resource availability. ,4. Logic and Thinking,Specific info,Directive,Within Report,Neutral
"The overwhelming majority of this information should go in the results section. In the discussion, you should just interpret the results and draw inference about your hypothesis, then compare to other studies and discuss biological mechanisms ",2. Writing Quality,Specific info,Directive,Within Report,Neutral
"This information all counts as “methods”. Here, you should state the general trends and the p values. Then refer to the figures and tables in the text ",2. Writing Quality,Specific info,Directive,Within Report,Neutral
good,5. Praise or Concern,No basis to judge,Neutral,Within Report,Positive
Good caption!,5. Praise or Concern,General info,Explanatory,Within Report,Positive
Can you state this more directly?,2. Writing Quality,Specific info,Directive,Within Report,FLAG
"Did this study measure resource allocation? What were their results, specifically?",4. Logic and Thinking,Specific info,Reflective,Within Report,Neutral
DID you assume this? Or are you referring to the results of the study you mentioned in the introduction? ,4. Logic and Thinking,Specific info,Reflective,Within Report,Neutral
I don’t think most of this paragraph is really necessary – focus only on the results of the experiment that you did. You can refer to the studies that you cited in the intro for support. ,2. Writing Quality,Specific info,Corrective,Within Report,Neutral
Followed by Tukey-KramerYou don’t need to include the final sentence here,3. Technical and Scientific,Copy Correction,Directive,Within Report,Neutral
I would move this to the end of your introduction. ,2. Writing Quality,Specific info,Corrective,Within Report,Neutral
"In what way, why? Which resources might be lacking in a sandy environment versus a soil one?",4. Logic and Thinking,Holistic,Reflective,Within Report,Neutral
"Instead of this long discussion of potential errors in your experiment, can you spend more time talking about the potential implications or applications of your study? Why do we need to know how crop plants respond to different soil types? ",4. Logic and Thinking,Holistic,Reflective,Within Report,Neutral
Refer to figure again.Report the results of your ANOVA properly (see resource guide) – need the p-value in the results section.  ,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
Also need the results of Tukey-Kramer test. Please also include means ± sd for R:S ratios for each group. ,3. Technical and Scientific,Copy Correction,Directive,Within Report,Neutral
"Try something like, Mean R:S ratios for length and weight for the three groups in the experiment. ",2. Writing Quality,Specific info,Corrective,Within Report,Neutral
There were/were not significant differences (include p-values). Error bars represent standard deviation. ,3. Technical and Scientific,Copy Correction,Directive,Within Report,Neutral
"Well, there is, but your group didn’t do that, right? ",8. No basis to judge,No basis to judge,,,
?,4. Logic and Thinking,Pointer,Neutral,Within Report,Neutral
“or”,2. Writing Quality,Copy Correction,Corrective,Within Report,Neutral
Add a comma after ANOVA. Commas were also needed throughout the report as well. Be sure to check for grammar and punctuation mistakes,2. Writing Quality,Copy Correction,Directive,Within Report,Neutral
"Again, more information needs to go here. This would be almost acceptable for a lab notebook entry, but not for a lab report.",2. Writing Quality,Specific info,Directive,Within Report,Neutral
Avoid colloquial language,2. Writing Quality,General info,Directive,Within Report,Neutral
Be sure to proofread before submitting for small mistakes like these throughout your report,2. Writing Quality,Specific info,Directive,Within Report,Neutral
"Because of this finding, relate it back to the bigger picture? Why is this significant?",4. Logic and Thinking,Specific info,Directive,Within Report,Neutral
Colloquial language,2. Writing Quality,General info,Corrective,Within Report,Neutral
Delete gridlines,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
Error bars?,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
"Be more careful about how the image looks, so by still having the “percent change” selected and “plot” still in the image, it doesn’t look cleaned up. They’re small but easy fixes",3. Technical and Scientific,Specific info,Explanatory,Within Report,Neutral
Don’t need this,2. Writing Quality,Copy Correction,Corrective,Within Report,Neutral
How? (Clarify a  source in introduction),4. Logic and Thinking,Specific info,Directive,Within Report,Neutral
Include table of ANOVA and post hoc test results,3. Technical and Scientific,Copy Correction,Directive,Within Report,Neutral
"More needs to be said here overall. As a reader, I was left asking myself “why” a lot. So add more detail, do more background info if you need to, and just be more thorough in your explanations.",4. Logic and Thinking,Specific info,Directive,Within Report,Neutral
You also tend to write really short sentences that makes your report read really choppy. Adding detail will help with this. So ask yourself “why” and “how” to help you out.,2. Writing Quality,General info,Reflective,Within Report,Neutral
Of what? (Abstract wording),2. Writing Quality,Copy Correction,Corrective,Within Report,Neutral
"Overall you need to work on writing quality and more detail. This is the bare minimum of what should be included in a lab report, but there needs to be more for full credit",2. Writing Quality,General info,Directive,Within Report,Negative-reasonable
Provide numbers to emphasize how big the difference is,3. Technical and Scientific,Copy Correction,Directive,Within Report,Neutral
This is incorrect. Recheck this (Methods correction),3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
This section contains a lot of fragments. Either combine the sentences somehow or continue the thought the make it a complete sentence,2. Writing Quality,Specific info,Corrective,Within Report,Neutral
Through what? (Abstract wording),2. Writing Quality,No basis to judge,Corrective,Within Report,Neutral
Title should VERY briefly state the main takeaway of your experiment,2. Writing Quality,Specific info,Corrective,Within Report,Neutral
What is this made of? (Methods clarification 1),3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
What is this made of? (Methods clarification 2),3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
Which one? (Abstract wording),2. Writing Quality,No basis to judge,Corrective,Within Report,Neutral
Which one? Post hoc test?,3. Technical and Scientific,Specific info,Directive,Within Report,Neutral
Why?,4. Logic and Thinking,General info,Reflective,Within Report,Neutral
Write this section in past tense. Also use the actual symbols instead of writing out words like “degrees Celsius” or “microliters”,2. Writing Quality,General info,Directive,Within Report,FLAG
You can cite your own figures in this section.,3. Technical and Scientific,General info,Directive,Within Report,Neutral
You can potentially condense this sentence into one so that it doesn’t read robotically.,2. Writing Quality,General info,Corrective,Within Report,Neutral
"You need at least 5 primary resources, not including the lab manual",11. FLAG,Copy Correction,Directive,Within Report,FLAG
Your citations should support your findings in that it should explain why your results were surprising/not surprising.,2. Writing Quality,Specific info,Directive,Within Report,Neutral
Also introduce statistical tests you performed to analyze the data,3. Technical and Scientific,Specific info,Directive,Within Report,Neutral
Are you sure it is the correct tense for this section? Check with other primary lit,2. Writing Quality,Holistic,Reflective,Within Report,Neutral
Avoid this recipe style of writing methods section because that’s not how it is used in a scientific literature. Check primary literature on similar experiments to see how they wrote their methods section and revise.,2. Writing Quality,General info,Directive,Within Report,Neutral
Cross check again (technical error),3. Technical and Scientific,Copy Correction,Directive,Within Report,Neutral
Informal. Revise to make it formal. Use your best judgement to locate other informal/colloquial terms/texts/formats used elsewhere in the report and revise accordingly.,2. Writing Quality,Holistic,Directive,Within Report,FLAG
Needs citation,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
Procedural error could be one reason. Maybe the chloroplasts were not successfully isolated. Recall that you did not actually look through the microscope and calculated relative chloroplast density this time. It could be error at maintaining the temp during the experiments. Explore possible reasons!,4. Logic and Thinking,Specific info,Directive,Within Report,Neutral
Refer to figures. Include your t-test results to justify.,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
Remove Table# to avoid confusion. Provide your t-test stat results when you interpret %change.,3. Technical and Scientific,Copy Correction,Directive,Within Report,Neutral
Revise this statement to make more formal,2. Writing Quality,Specific info,Corrective,Within Report,Neutral
Wrong tense,2. Writing Quality,General info,Corrective,Within Report,Neutral
Also introduce statistical tests you performed to analyze the data,3. Technical and Scientific,Specific info,Directive,Within Report,Neutral
Are you sure it is the correct tense for this section? Check with other primary lit,2. Writing Quality,Holistic,Reflective,Within Report,Neutral
Avoid this recipe style of writing methods section because that’s not how it is used in a scientific literature. Check primary literature on similar experiments to see how they wrote their methods section and revise.,2. Writing Quality,General info,Directive,Within Report,Neutral
Informal. Revise to make it formal. Use your best judgement to locate other informal/colloquial terms/texts/formats used elsewhere in the report and revise accordingly.,2. Writing Quality,Holistic,Directive,Within Report,Neutral
Needs citation,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
Procedural error could be one reason. Maybe the chloroplasts were not successfully isolated. Recall that you did not actually look through the microscope and calculated relative chloroplast density this time. It could be error at maintaining the temp during the experiments. Explore possible reasons!,4. Logic and Thinking,Specific info,Directive,Within Report,Neutral
Refer to figures. Include your t-test results to justify.,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
Revise this statement to make more formal,2. Writing Quality,Specific info,Corrective,Within Report,Neutral
Wrong tense,2. Writing Quality,General info,Corrective,Within Report,Neutral
"Grade: 3 TFGood job, just need to change a few things.",12. Narrative Comments,General info,Explanatory,Within Report,Positive
I like this,5. Praise or Concern,No basis to judge,Explanatory,Within Report,Positive
Include a some results values and the statistics,3. Technical and Scientific,Copy Correction,Directive,Within Report,Neutral
Include the respective stats values associated with the figure,3. Technical and Scientific,Copy Correction,Directive,Within Report,Neutral
"This is a good figure and sums up the other figure nicely, so you only need to include this one.",3. Technical and Scientific,Specific info,Explanatory,Within Report,Positive
This is unclear,2. Writing Quality,General info,Corrective,Within Report,Neutral
This raw data and should not be included.,3. Technical and Scientific,General info,Corrective,Within Report,Neutral
"This section should be in paragraph form, not numbered.",2. Writing Quality,Specific info,Corrective,Within Report,Neutral
This should be in paragraph for in your results.,2. Writing Quality,Specific info,Corrective,Within Report,Neutral
This should be included in sentence form in your results.  ,2. Writing Quality,Specific info,Directive,Within Report,Neutral
Referencing the stats values here (in the discussion) would help make this a strong argument.,3. Technical and Scientific,Specific info,Directive,Within Report,Neutral
What is the dilution?,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
Be careful of the wording since this ends up meaning you had 104mL total rather than 100mL total. It would be 4mL diluted in water for 100mL total volume.,3. Technical and Scientific,Copy Correction,Explanatory,Within Report,Neutral
Error bars formatted incorrectly,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
Error bars improperly formatted,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
Error bars missing,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
"I’m assuming this is from the lab manual. Make sure to cite this (Johnson, 2018)",3. Technical and Scientific,Copy Correction,Directive,Within Report,Neutral
Outside sources missing (basic criteria),1. Basic Criteria,General info,Corrective,Within Report,Neutral
"Although we do want to show significant differences usually, it’s an unspoken rule that you don’t just state “We are going after significance” as that shouldn’t be the goal of science.",3. Technical and Scientific,General info,Explanatory,Within Report,Neutral
I probably wouldn’t even include anything about labeling.,3. Technical and Scientific,Copy Correction,Directive,Within Report,Neutral
I would try to avoid “obviously” as it can seem demeaning to readers that did not arrive at this conclusion.,2. Writing Quality,Copy Correction,Directive,Within Report,
Standard deviations mean nothing without an average,3. Technical and Scientific,Copy Correction,Explanatory,Within Report,Neutral
Standard deviations? Stats?,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
The null hypothesis cannot be rejected. That is the language you should use,3. Technical and Scientific,Copy Correction,Directive,Within Report,Neutral
"Can you explain the coloration of the bars – what is represented by red, what is green? What do the error bars show? ",3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
"Check spelling throughout:ResourcesThere = theirWhere = wereAll of the blue underlines need to be corrected, they indicate areas where you have used the wrong word.",2. Writing Quality,Copy Correction,Directive,Within Report,Neutral
"Also, this and the next sentence are “big picture” and would flow better toward the end of the discussion. ",2. Writing Quality,Specific info,Corrective,Within Report,Neutral
Citation?,3. Technical and Scientific,Specific info,Corrective,Within Report,FLAG
This and the next sentence are “big picture” and would flow better toward the end of the discussion. ,2. Writing Quality,Specific info,Corrective,Within Report,Neutral
"Include a topic sentence at the beginning of this paragraph, something like, “Mung bean plants were planted and grown in sunlight and shade for two weeks.” Then you can talk about the details. This type of sentence will orient the reader to where you are heading with the paragraph.How did you exclude the sunlight? This can be more specific",2. Writing Quality,Specific info,Directive,Within Report,Neutral
"Is this a strong ending? Remember we want to bring it out to the big picture, and connect back to the introduction. Rework the structure of the discussion to leave the reader with a strong impression of why your work is important. ",4. Logic and Thinking,Specific info,Directive,Within Report,FLAG
"Only length and weight, or do you mean ratios?",3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
Say something about the difference in coloration here,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
"The ozone-sunlight-plant allocation connection is an interesting idea, can you develop it a little more? What is the connection between chloroplasts and stems as opposed to chloroplasts and roots?",4. Logic and Thinking,Holistic,Reflective,Within Report,Neutral
"This should be condensed:The mean weight ratios for plants in sunlight was 0.83 ± 0.16, and in shade was 0.57 ± 0.04 (and so on… means and std dev need to be stated together). ",3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
Which mung bean is further along? The purple ones? This sentence and the one further below basically repeat each other- can you combine? ,2. Writing Quality,Specific info,Corrective,Within Report,Neutral
"Your figures don’t need titles, because they will have captions. ",3. Technical and Scientific,Copy Correction,Explanatory,Within Report,Neutral
"Again, what kind of growth? Roots? Shoots?",3. Technical and Scientific,Holistic,Reflective,Within Report,Neutral
Cite some literature backing up these claims,3. Technical and Scientific,General info,Directive,Within Report,FLAG
"Good detail, but you can be more concise",2. Writing Quality,General info,Directive,Within Report,Positive
Hypothesis comes before methods,2. Writing Quality,Specific info,Corrective,Within Report,Neutral
"Remember, start your abstract broadly. You need a sentence or two of background before you state the purpose of the experiment. ",2. Writing Quality,Specific info,Directive,Within Report,Neutral
"Start by explaining underlying biological concepts, not the study system. Field peas are a means to an end, not the focal point of your study. What biological concepts were you trying to learn about? ",2. Writing Quality,Holistic,Reflective,Within Report,Neutral
These are raw data; you should only include mean R:S data and SD. Figures also better represent data visually than do tables,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
"This is a solid start, but there are some necessary technical edits. ",5. Praise or Concern,General info,Corrective,Within Report,FLAG
You need to do a better job of explaining the underlying biology of the experiment in introduction. ,2. Writing Quality,General info,Corrective,Within Report,FLAG
Your methods and results sections can be made much more concise. ,2. Writing Quality,General info,Directive,Within Report,Neutral
"You present a solid biological mechanism in the discussion, but you need to expand on your explanation with primary literature. ",4. Logic and Thinking,Specific info,Directive,Within Report,Positive
Figures do a better job of communicating trends in data than do tables. ,3. Technical and Scientific,General info,Directive,Within Report,Neutral
You should not present raw data in your tables,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
"Overall, your lab report was very well written, and with some editing this will be a strong lab repot.B",12. Narrative Comments,General info,Directive,Beyond Report,Positive
Use parentheses. They will save words.,2. Writing Quality,Copy Correction,Corrective,Within Report,Neutral
What does R:S tell us about growth? Why is it important to measure?,4. Logic and Thinking,Specific info,Reflective,Within Report,Neutral
What effect does temperature have on plant growth?,3. Technical and Scientific,Specific info,Reflective,Within Report,Neutral
What kind of growth? Roots? Shoots? Be specific.,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
Why? What does the length ratio tell you that the mass ratio does not? Be specific. ,3. Technical and Scientific,Specific info,Reflective,Within Report,Neutral
Figures not cited and data not well presented.,3. Technical and Scientific,General info,Corrective,Within Report,Negative-reasonable
"Hi Caroline, Nice work! I see you took all my comments into account, which I appreciate. I had two minor tweaks to your figure caption (see below), but aside from that this is pretty great. You did enough to improve your grade! - A",12. Narrative Comments,General info,Explanatory,Beyond Report,Positive
"It’s good that you changed the colors, but the legend on the figure itself should say blue –treatment and red-control as well",3. Technical and Scientific,Copy Correction,Corrective,Within Report,Positive
"When you state averages for a group, you usually state average +/- the standard deviation for that group",3. Technical and Scientific,Copy Correction,Directive,Within Report,Neutral
"Careful of interpreting results in the results section, wait till discussion to say this",1. Basic Criteria,Specific info,Corrective,Within Report,Neutral
Clean up this abstract to reflect your experiment which was on growth,2. Writing Quality,Specific info,Directive,Within Report,Neutral
fourth,2. Writing Quality,Copy Correction,Corrective,Within Report,Neutral
Give the mL added to the food and the percent concentration,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
Here is where you state if your hypothesis was supported or not. ,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
Is that what you hypothesized and measured?,4. Logic and Thinking,Specific info,Reflective,Within Report,Neutral
"It’s not so much dependent on it, they operate separately but both act on development",3. Technical and Scientific,General info,Explanatory,Within Report,Neutral
None of this should be in your figure caption,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
Not unsuccessful you just didn’t get a significant difference,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
Once again,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
P-value,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
Report the standard deviations as well,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
The data did not suggest that unless you saw them begin to pupate,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
This is interpretation of results don’t state this here. State if the p-value is significant but do not make a comment on the hypotheses. ,1. Basic Criteria,Specific info,Directive,Within Report,Neutral
What? (Unclear wording in discussion),2. Writing Quality,No basis to judge,Corrective,Within Report,Neutral
Where is the evidence for this?,4. Logic and Thinking,General info,,Within Report,Neutral
Why would weight increase? What is the connection between JH and weight?,4. Logic and Thinking,Holistic,Reflective,Within Report,Neutral
"You gave them a brand of insecticide called Precor which contained methoprene which is a JH analogue, they’re not all the same thing",3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
Also you should not have a title in your figure. ,11. FLAG,Copy Correction,Corrective,Within Report,FLAG
You need a figure that represents the statistical test you did which is not this one,3. Technical and Scientific,Copy Correction,Directive,Within Report,FLAG
?,4. Logic and Thinking,Pointer,Neutral,Within Report,Neutral
Change language,2. Writing Quality,Copy Correction,Corrective,Within Report,Neutral
change this,8. No basis to judge,Copy Correction,Corrective,Within Report,Neutral
change this language,2. Writing Quality,Copy Correction,Corrective,Within Report,Neutral
Condense some of this,2. Writing Quality,General info,Directive,Within Report,Neutral
Intro needs to be substantially condensed and focused more about experiments dealing with different wavelengths – the scholarship is good but the way the ideas are presented could be improved,2. Writing Quality,Specific info,Directive,Within Report,Neutral
Make the writing more percise,2. Writing Quality,General info,Directive,Within Report,Neutral
minimal (word choice),2. Writing Quality,Copy Correction,Corrective,Within Report,Neutral
not necessary. In scientific papers we give the authors the benefit that they probably labeled tubes correctly. Remove this,2. Writing Quality,Specific info,Corrective,Within Report,Neutral
or at least confirm the wavelength with  proper equipment,3. Technical and Scientific,Specific info,Directive,Within Report,Neutral
paired t-test? This is missing from the method,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
percisiond (word choice),2. Writing Quality,Copy Correction,Corrective,Within Report,Neutral
Perhaps a little too broad,2. Writing Quality,General info,Directive,Within Report,Neutral
put the formula for this somewhere,3. Technical and Scientific,General info,Directive,Within Report,Neutral
Remove and end more broad,2. Writing Quality,General info,Directive,Within Report,Neutral
remove this and the rest is rest has a good flow,2. Writing Quality,Copy Correction,Corrective,Within Report,Neutral
Also citation,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
This doesn’t mean what I think you are trying to say,2. Writing Quality,General info,Corrective,Within Report,Neutral
this is all good but add some info about how studying this at a cellular level will illuminate all of this,4. Logic and Thinking,Specific info,Directive,Within Report,Neutral
Too much background for the abstract,2. Writing Quality,Specific info,Directive,Within Report,Neutral
"Be careful about your sources. Generally for scientific uses, you want to cite scholarly sources (Scientific articles or .edu/.gov)",2. Writing Quality,General info,Explanatory,Within Report,Neutral
Be careful of the wording since this ends up meaning you had 104mL total rather than 100mL total. It would be 4mL diluted in water for 100mL total volume.,3. Technical and Scientific,Copy Correction,Explanatory,Within Report,Neutral
Error bars improperly formatted,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
"Be more specific about the differences. That way, your p-values make more sense. ",2. Writing Quality,Specific info,Directive,Within Report,Neutral
You can also cut down on the words here for sure. E.g. average R:S mass was greater in treatment group than in control group (Figure 1). ,2. Writing Quality,Specific info,Directive,Within Report,Neutral
"Great content in this intro, but you can still improve stylistically. You have a few run-on sentences in here and your tone seems forced. The best science writing is simple, concise, and able to be understood by anyone. ",2. Writing Quality,General info,Directive,Within Report,Positive
Just say use! Simple language is always better.,2. Writing Quality,Copy Correction,Directive,Within Report,Neutral
Make sure you include the alpha value (0.05),3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
Make sure you include the year in brackets after this sentence!,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
Make sure you mention a mechanism. What does mycorrhizae do to facilitate uptake?,4. Logic and Thinking,Specific info,Reflective,Within Report,Neutral
"OVERALLSolid first effort, but there’s still plenty of work to be done. ",5. Praise or Concern,General info,Directive,Beyond Report,FLAG
You report different p-values throughout the paper and have data in your figures that is not reflective of your p-values and is not different that the means and standard deviations that you report. ,3. Technical and Scientific,General info,Corrective,Within Report,Neutral
"Finally, you need to clean up your writing throughout the body of the lab report.",2. Writing Quality,General info,Corrective,Within Report,Neutral
Try to explain your results in your discussion with more biology; provide a mechanism and explain why length but not mass changed between groups. ,4. Logic and Thinking,Specific info,Directive,Within Report,Neutral
"There are a lot of run-on sentences, which is usually a symptom of trying to sound scientific. Keep your language and sentence structure simple",2. Writing Quality,General info,Corrective,Within Report,FLAG
Stay focused on resource allocation in plants. This sentence doesn’t get any closer to your hypothesis,4. Logic and Thinking,Specific info,Directive,Within Report,Neutral
The means and SDs you report in your caption are different from those displayed by the graph. ,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
You also should not represent the same data in a figure and a table. These p-values are also different from the ones you reported in your lab report.,3. Technical and Scientific,Specific info,Directive,Within Report,Neutral
These are raw data. You only need to report average R:S mass and average R:S length ,3. Technical and Scientific,Specific info,Directive,Within Report,Neutral
Why do plants show more dramatic effects than animals? Be specific!,4. Logic and Thinking,Holistic,Directive,Within Report,Neutral
"You misinterpreted your p-values here. Remember, p-values boil down to the probability that the observed results occurred due to chance (unofficial definition, but it helps to think about it this way).",3. Technical and Scientific,Specific info,Explanatory,Within Report,Neutral
Can you be more precise? What did you average?,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
Can you specify the analyzed variable in that graph and the treatments instead of saying between the two graphs?,3. Technical and Scientific,Specific info,Directive,Within Report,Neutral
"Cause-effect relation. AP are generated because of an increase in the influx of Na+, not the opposite ",3. Technical and Scientific,Specific info,Explanatory,Within Report,Neutral
Citation formatting,3. Technical and Scientific,Copy Correction,Corrective,Within Report,FLAG
Citation formatting,3. Technical and Scientific,Copy Correction,Corrective,Within Report,FLAG
Citations are required in this section,3. Technical and Scientific,General info,Corrective,Within Report,FLAG
Did you have a control group?,3. Technical and Scientific,Specific info,Directive,Within Report,Neutral
